medcodeid	term	arrhythmia	arrhythmia_cat	arrhythmia_type	cvd	angina	angina_cat	angina_type	cad	cad_cat	cad_type	mi	mi_cat	sca	sca_cat	revascularisation	revascularisation_cat	nonspecificcvd	nonspecificcvd_cat	hf_cat	hf	confidence	stroke	catstroke	vte	dvt	dvt_cat	dvt_type	pulmonaryembolism	pulmonaryembolism_cat	cardiomyopathy	cardiomyopathy_cat	cardiomyopathy_type	pericarditis	pericarditis_cat	vhd	vhd_cat	pvd	pvd_cat	cvdgrouped
12122341000006114	acute st segment elevation myocardial infarction of inferoposterior wall				cad				CAD	Diagnosis	MI																													1
12125951000006116	arteriosclerosis of autologous vein coronary artery bypass graft with angina				revascularisation											revascularisation	Diagnosis																							1
12126541000006118	bilateral gangrene of toe				pvd																																	PVD	Diagnosis	1
12126891000006113	thrombophlebitis of vein of right lower limb				vte																				1															1
12127261000006118	thrombophlebitis of right jugular vein				dvt																					DVT														1
1216090015	acute oedema of lung, unspecified				hf															Heart failure	Heart failure																			1
1218860015	acute papillary muscle infarction				cad				CAD	Diagnosis	MI																													1
1221554018	other autograft bypass of coronary artery				revascularisation											revascularisation	Diagnosis																							1
1222307019	tricuspid regurgitation, cause unspecified				vhd																															1	Diagnosis			1
1222308012	tricuspid stenosis and regurgitation, cause unspecified				vhd																															1	Diagnosis			1
12223101000006118	intracerebral haemorrhage				stroke																	Diagnosis	Stroke	Haemorrhagic																1
12223121000006111	ich - intracerebral haemorrhage				stroke																	Diagnosis	Stroke	Haemorrhagic																1
1222314017	aortic insufficiency alone, cause unspecified				vhd																															1	Diagnosis			1
1222315016	aortic regurgitation alone, cause unspecified				vhd																															1	Diagnosis			1
1222317012	pulmonary insufficiency, cause unspecified				vhd																															1	Diagnosis			1
1222398015	cerebral arterial occlusion				stroke																	Diagnosis	Stroke	Ischaemic																1
122361000006113	stroke due to cerebral arterial occlusion				stroke																	Diagnosis	Stroke	Ischaemic																1
122371000006118	cerebral haemorrhage				stroke																	Diagnosis	Stroke	Haemorrhagic																1
122401000006115	stroke unspecified				stroke																	Diagnosis	Stroke	Not specified																1
1227364015	history of coronary artery bypass grafting				cad				CAD	3	Revascularisation																													1
1227369013	[v] personal history dvt (deep vein thrombosis)				dvt																					DVT	History	90. History of DVT/PE												1
1227591017	[v]personal history of stroke				stroke																	History	Stroke	History of																1
1227592012	[v]personal history of cerebrovascular accident (cva)				stroke																	History	Stroke	History of																1
12276271000006112	progressive angina				cad				CAD	Diagnosis	Angina																													1
1228148017	rheumatic pulmonary insufficiency				vhd																															1	Diagnosis			1
1229885017	microinfarction of heart				cad				CAD	Diagnosis	MI																													1
1230146013	cardiac dysrhythmia	arrhythmia	Diagnosis	arrhythmia NOS	arrhythmia																																			1
1230147016	cardiac arrhythmia	arrhythmia	Diagnosis	arrhythmia NOS	arrhythmia																																			1
12321891000006112	intellectual disability, congenital heart disease, blepharophimosis, blepharoptosis and hypoplastic teeth				cad				CAD	Diagnosis	Not specific																													1
1232960018	rheumatic tricuspid insufficiency				vhd																															1	Diagnosis			1
1234005010	acute inferoposterior infarction				mi							Myocardial infarction	Myocardial infarction																											1
1234306015	acute septal infarction				cad				CAD	Diagnosis	MI																													1
123441000006112	subarachnoid haemorrh from intracranial artery, unspecif				stroke																	Diagnosis	Stroke	Haemorrhagic																1
123511000006114	subarachnoid haemorrhage from middle cerebral artery				stroke																	Diagnosis	Stroke	Haemorrhagic																1
1235225010	prinzmetal's angina				cad				CAD	Diagnosis	Angina																													1
1235655012	mural thrombosis				cad				CAD	Diagnosis	MI																													1
1235913017	cerebral vein thrombosis				stroke																	Diagnosis	Stroke	Ischaemic																1
125470015	cerebral embolism				stroke																	Diagnosis	Stroke	Ischaemic																1
12619501000006118	blood pressure measurement using oscillometric monitoring device with opportunistic atrial fibrillation detection	arrhythmia	Diagnosis	Atrial fibrillation & flutter	arrhythmia																																			1
12734511000006115	evaluation of af (atrial fibrillation) burden	arrhythmia	Diagnosis	Atrial fibrillation & flutter	arrhythmia																																			1
12734751000006111	registration for access to online heart disease self-management application				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
129504017	rheumatic aortic insufficiency				vhd																															1	Diagnosis			1
129567014	chronic rheumatic pericarditis				pericarditis																													Pericarditis	Diagnosis					1
132655012	chronic cor pulmonale				hf															Heart failure	Heart failure																			1
133268018	palpitations	arrhythmia	Diagnosis	Palpitations	arrhythmia																																			1
133518010	gas gangrene				pvd																																	PVD	Diagnosis	1
13484031000006111	cardiomyopathy due to disease caused by sars-cov-2 (severe acute respiratory syndrome coronavirus 2)				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
13717171000006112	cerebrovascular accident due to stenosis of bilateral carotid arteries				stroke																	Diagnosis	Stroke	Ischaemic																1
13718601000006110	history of embolic cerebrovascular accident				stroke																	History	Stroke	History of																1
13718621000006117	history of cerebrovascular accident due to ischaemia				stroke																	History	Stroke	History of																1
13718641000006112	history of ischaemic stroke				stroke																	History	Stroke	History of																1
138527014	alcoholic cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
13909861000006114	cerebral ischaemic stroke due to dissection of artery				stroke																	Diagnosis	Stroke	Ischaemic																1
13909881000006116	cerebral ischaemic stroke due to global hypoperfusion with watershed infarct				stroke																	Diagnosis	Stroke	Ischaemic																1
13909891000006118	cerebral ischaemic stroke due to hypercoagulable state				stroke																	Diagnosis	Stroke	Ischaemic																1
13909901000006119	cerebral ischaemic stroke co-occurrent with subarachnoid haemorrhage				stroke																	Diagnosis	Stroke	Haemorrhagic																1
13910671000006110	heart failure with mid range ejection fraction				hf															Heart failure	Heart failure																			1
13930031000006112	delayed postmyocardial infarction pericarditis				cad				CAD	3	MI																													1
13930051000006117	dressler's syndrome				pericarditis																													Pericarditis	Diagnosis					1
13935161000006114	acute myocardial infarction of right ventricle				cad				CAD	Diagnosis	MI																													1
13935211000006117	acute myocardial infarction of inferolateral wall with posterior extension				cad				CAD	Diagnosis	MI																													1
13939421000006110	mild mitral valve regurgitation				vhd																															1	Diagnosis			1
13939431000006113	moderate mitral valve regurgitation				vhd																															1	Diagnosis			1
13939441000006115	severe mitral valve regurgitation				vhd																															1	Diagnosis			1
13939451000006118	mild tricuspid valve regurgitation				vhd																															1	Diagnosis			1
13939461000006116	moderate tricuspid valve regurgitation				vhd																															1	Diagnosis			1
13939471000006111	severe tricuspid valve regurgitation				vhd																															1	Diagnosis			1
13940541000006113	mild pulmonary valve regurgitation				vhd																															1	Diagnosis			1
13940551000006110	moderate pulmonary valve regurgitation				vhd																															1	Diagnosis			1
13940561000006112	severe pulmonary valve regurgitation				vhd																															1	Diagnosis			1
13940571000006117	mild aortic valve regurgitation				vhd																															1	Diagnosis			1
13940581000006119	moderate aortic valve regurgitation				vhd																															1	Diagnosis			1
13940591000006116	severe aortic valve regurgitation				vhd																															1	Diagnosis			1
13941091000006115	acute st segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion				cad				CAD	Diagnosis	MI																													1
13941111000006112	acute stemi (st elevation myocardial infarction) due to proximal lad (left anterior descending) coronary artery occlusion				cad				CAD	Diagnosis	MI																													1
13941141000006111	acute st segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion				cad				CAD	Diagnosis	MI																													1
13941161000006110	acute stemi (st elevation myocardial infarction) due to mid lad (left anterior descending) coronary artery occlusion				cad				CAD	Diagnosis	MI																													1
13941211000006118	acute st segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion				cad				CAD	Diagnosis	MI																													1
13941231000006112	acute stemi (st elevation myocardial infarction) due to distal lad (left anterior descending) coronary artery occlusion				cad				CAD	Diagnosis	MI																													1
13944841000006117	peripheral arterial disease				pvd																																	PVD	Diagnosis	1
13944851000006115	peripheral arterial vascular disease				pvd																																	PVD	Diagnosis	1
13944861000006118	peripheral artery disease				pvd																																	PVD	Diagnosis	1
13945211000006116	acute st segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery				mi							Myocardial infarction	Myocardial infarction																											1
139475013	heart failure				hf															Heart failure	Heart failure																			1
13947721000006111	acute st segment elevation myocardial infarction due to occlusion of intermediate artery				cad				CAD	Diagnosis	MI																													1
139482012	cardiac failure				hf															Heart failure	Heart failure																			1
13949481000006113	deep vein thrombosis of lower extremity due to intravenous drug use				vte																				1															1
13961451000006111	acute stemi (st elevation myocardial infarction) due to pda (posterior descending artery) branch of rca (right coronary artery) occlusion				cad				CAD	Diagnosis	MI																													1
13961461000006113	acute st segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery				cad				CAD	Diagnosis	MI																													1
13961481000006115	coronary artery bypass grafting using radial artery graft				revascularisation											revascularisation	Diagnosis																							1
13961541000006110	coronary artery bypass graft using free lima (left internal mammary artery) graft				revascularisation											revascularisation	Diagnosis																							1
13963181000006111	ventricular tachycardia ablation	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
13971301000006111	low output heart failure due to and following fontan operation				hf															Heart failure	Heart failure																			1
13971661000006116	infiltrative cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Restrictive cardiomyopathy							1
14014251000006116	cerebrovascular accident due to occlusion of bilateral pontine arteries				stroke																	Diagnosis	Stroke	Ischaemic																1
14015031000006119	myocardial infarction due to demand ischaemia				cad				CAD	Diagnosis	MI																													1
14015051000006114	acute on chronic right-sided congestive heart failure				hf															Heart failure	Heart failure																			1
14015311000006110	coronary artery disease due to type 2 diabetes mellitus				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
14057221000006111	rupture of ventricle due to acute myocardial infarction				cad				CAD	Diagnosis	MI																													1
141306010	left ventricular failure				hf															Heart failure	Heart failure																			1
14132941000006118	myocardial infarction with non-obstructive coronary artery				mi							Myocardial infarction	Myocardial infarction																											1
14132951000006116	minoca - myocardial infarction with non-obstructive coronary artery				cad				CAD	Diagnosis	MI																													1
14145371000006117	acute myocardial infarction due to occlusion of circumflex branch of left coronary artery				cad				CAD	Diagnosis	MI																													1
14145451000006115	acute stemi (st segment elevation myocardial infarction) of apex of heart				cad				CAD	Diagnosis	MI																													1
14161691000006115	paroxysmal atrial fibrillation with rapid ventricular response	arrhythmia	Diagnosis	Atrial fibrillation & flutter	arrhythmia																																			1
14168581000006112	mitral regurgitation due to acquired abnormality of mitral subvalvular apparatus				vhd																															1	Diagnosis			1
14172931000006114	bilateral occlusion of anterior cerebral arteries				stroke																	Diagnosis	Stroke	Ischaemic																1
14182621000006113	cryptogenic stroke				stroke																	Diagnosis	Stroke	Not specified																1
141891015	constrictive pericarditis				pericarditis																													Pericarditis	Diagnosis					1
14194161000006118	acute stroke due to occlusion of left posterior cerebral artery				stroke																	Diagnosis	Stroke	Ischaemic																1
14194181000006111	acute dvt (deep vein thrombosis) of left peroneal vein				vte																				1															1
14194191000006114	acute cerebrovascular accident due to stenosis of left carotid artery				stroke																	Diagnosis	Stroke	Ischaemic																1
14194211000006110	acute cerebrovascular accident due to occlusion of left middle cerebral artery				stroke																	Diagnosis	Stroke	Ischaemic																1
14194281000006115	acute cerebrovascular accident due to occlusion of right posterior cerebral artery				stroke																	Diagnosis	Stroke	Ischaemic																1
14194331000006112	acute cerebrovascular accident due to occlusion of right middle cerebral artery				stroke																	Diagnosis	Stroke	Ischaemic																1
14194491000006118	acute cerebrovascular accident due to occlusion of right carotid artery				stroke																	Diagnosis	Stroke	Ischaemic																1
14194571000006115	acute cerebrovascular accident due to occlusion of left carotid artery				stroke																	Diagnosis	Stroke	Ischaemic																1
14194611000006113	acute cerebrovascular accident of basal ganglia				stroke																	Diagnosis	Stroke	Not specified																1
14194641000006112	acute cerebrovascular accident of brainstem				stroke																	Diagnosis	Stroke	Not specified																1
14194651000006114	acute stroke of brainstem				stroke																	Diagnosis	Stroke	Not specified																1
14194661000006111	acute cerebrovascular accident due to stenosis of right carotid artery				stroke																	Diagnosis	Stroke	Ischaemic																1
14194741000006118	acute cerebrovascular accident due to occlusion of right cerebellar artery				stroke																	Diagnosis	Stroke	Ischaemic																1
14194801000006111	acute cerebrovascular accident due to ischaemia				stroke																	Diagnosis	Stroke	Ischaemic																1
14194811000006114	acute ischaemic stroke				stroke																	Diagnosis	Stroke	Ischaemic																1
14194841000006113	acute cerebrovascular accident due to occlusion of left cerebellar artery				stroke																	Diagnosis	Stroke	Ischaemic																1
14194871000006117	acute dvt (deep vein thrombosis) of right peroneal vein				dvt																					DVT		3. DVT legs												1
14194941000006115	acute cerebrovascular accident due to embolism of right middle cerebral artery				stroke																	Diagnosis	Stroke	Ischaemic																1
14194971000006111	acute cerebrovascular accident due to embolism of left middle cerebral artery				stroke																	Diagnosis	Stroke	Ischaemic																1
14196331000006118	pulmonary heart disease				cad				CAD	Diagnosis	Not specific																													1
142397010	cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
144819018	variant angina pectoris				angina	Angina	Diagnosis	Vasospastic codes																																1
145328019	chronic rheumatic heart disease				cad				CAD	Diagnosis	Not specific																													1
145620019	chronic pulmonary heart disease				cad				CAD	Diagnosis	Not specific																													1
147247018	chronic congestive heart failure				hf															Heart failure	Heart failure																			1
1484917012	heart failure follow-up				hf															Disease management	Heart failure																			1
1484918019	heart failure annual review				hf															Disease management	Heart failure																			1
148654019	cardiopulmonary resuscitation				cad				CAD	Diagnosis	SCA																													1
1488804017	heart failure confirmed				hf															Heart failure	Heart failure																			1
1489358014	left ventricular diastolic dysfunction				hf															Heart failure	Heart failure																			1
1490256017	acute pulmonary oedema				hf															Possible HF	Heart failure																			1
1495417010	cardiac asthma				hf															Heart failure	Heart failure																			1
1495489016	rheumatic pulmonary stenosis and insufficiency				vhd																															1	Diagnosis			1
149571000006118	sequelae of stroke,not specfd as h'morrhage or infarction				stroke																	History	Stroke	History of																1
149701000006118	sequelae/other + unspecified cerebrovascular diseases				cad				CAD	Diagnosis	Not specific																													1
149872017	gonococcal pericarditis				pericarditis																													Pericarditis	Diagnosis					1
149909014	chronic rheumatic mediastinopericarditis				pericarditis																													Pericarditis	Diagnosis					1
150511013	constrictive cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Restrictive cardiomyopathy							1
151487012	aneurysm of femoral artery				pvd																																	PVD	Diagnosis	1
1539331000006118	h/o: coronary heart disease				cad				CAD	3	Not specific																													1
1539381000006117	heart failure lifestyle plan commenced				hf															Disease management	Heart failure																			1
1539471000006111	heart failure monitoring - unstable symptoms				hf															Disease management	Heart failure																			1
1539481000006114	heart failure monitoring - specialist clinical needs				hf															Disease management	Heart failure																			1
1539491000006112	heart failure monitoring - social issues				hf															Disease management	Heart failure																			1
1539501000006116	heart failure monitoring - psychological issues				hf															Disease management	Heart failure																			1
1539511000006118	heart failure monitoring - multiple readmissions				hf															Disease management	Heart failure																			1
1539521000006114	heart failure monitoring - co-medications				hf															Disease management	Heart failure																			1
1539531000006112	heart failure monitoring - co-morbidities				hf															Disease management	Heart failure																			1
1539541000006119	heart failure monitoring - palliative care				hf															Disease management	Heart failure																			1
1548341000006118	percutaneous transluminal insertion of stent into femoral artery				pvd																																	PVD	Diagnosis	1
1550991000000116	coronary artery bypass graft operation planned				revascularisation											revascularisation	Possible																							1
1562581000006114	stroke/transient ischaemic attack monitoring telephone invitation				stroke																	History	Stroke	History of																1
1573101000006112	cerebral infarction with haemorrhagic transformation				stroke																	Diagnosis	Stroke	Haemorrhagic																1
1576261000006112	cause of death- cerebral infarct				stroke																	Diagnosis	Stroke	Ischaemic																1
1576271000006117	cause of death- myocardial infarction				cad				CAD	Diagnosis	MI																													1
1576291000006116	cause of death- circulatory system diseases				cad				CAD	Diagnosis	Not specific																													1
1576301000006115	cause of death- acute myocardial infarction				mi							Myocardial infarction	Myocardial infarction																											1
1576311000006117	cause of death- angina pectoris				cad				CAD	Diagnosis	Angina																													1
1576321000006113	cause of death- congestive cardiac failure				hf															Heart failure	Heart failure																			1
158118014	cerebellar infarction				stroke																	Diagnosis	Stroke	Ischaemic																1
158601000006116	rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction				mi							Myocardial infarction	History of																											1
158611000006118	rupture of chordae tendinae as current complication following acute myocardial infarction				cad				CAD	3	MI																													1
1587611000006119	percutaneous transluminal ablation of atrial wall for atrial flutter	arrhythmia	Diagnosis	Atrial fibrillation & flutter	arrhythmia																																			1
1587631000006113	perc translum ablat conduct sys heart for atrial flutter nec	arrhythmia	Diagnosis	Atrial fibrillation & flutter	arrhythmia																																			1
1587791000006117	endovas insertion of stent graft for aorto-uniiliac aneurysm				pvd																																	PVD	Diagnosis	1
159001000006119	rupture of papillary muscle as current complication following acute myocardial infarction				cad				CAD	3	MI																													1
161481000006112	aortocoronary artery bypass graft with saphenous vein graft				revascularisation											revascularisation	Diagnosis																							1
161491000006110	aortocoronary artery bypass of four or more coronary arteries with saphenous vein graft				revascularisation											revascularisation	Diagnosis																							1
163261000006119	right sided intracerebral haemorrhage, unspecified				stroke																	Diagnosis	Stroke	Haemorrhagic																1
1638531000006113	referral to deep vein thrombosis clinic				dvt																					DVT	Possible	2.DVT other/NOS												1
1647701000000118	heart failure with normal ejection fraction				hf															Heart failure	Heart failure																			1
1661371000000112	hfnef - heart failure with normal ejection fraction				hf															Heart failure	Heart failure																			1
1699111000006110	ischaemic foot				pvd																																	PVD	Diagnosis	1
1703621000000112	worsening pulmonary oedema				hf															Possible HF	Heart failure																			1
1705016	valvular heart disease				vhd																															1	Diagnosis			1
1705341000000110	discharge from heart failure nurse service				hf															Disease management	Heart failure																			1
1705371000000116	tachycardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
1715241000006112	vascular claudication				pvd																																	PVD	Diagnosis	1
1715671000006119	deep vein thrombosis enhanced services administration stage 1 service level				dvt																					DVT														1
1715681000006116	deep vein thrombosis enhanced services administration stage 3 service level				dvt																					DVT														1
1716271000006111	deep vein thrombosis enhanced services administration stage 2 service level				vte																				1															1
1726581000006116	central post-stroke pain				stroke																	History	Stroke	History of																1
1728531000006116	heart failure resolved				hf															History	Heart failure																			1
1729331000006116	cerebral venous thrombosis				stroke																	Diagnosis	Stroke	Ischaemic																1
17311000006112	other replacement aneurysmal femoral artery by anastomosis				pvd																																	PVD	Diagnosis	1
1731551000000112	angina self management plan commenced				angina	Angina	Disease management	Stable angina																																1
1731571000000115	angina self management plan completed				angina	Angina	Disease management	Stable angina																																1
173461000006110	replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery				pvd																																	PVD	Diagnosis	1
173471000006115	replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery				pvd																																	PVD	Diagnosis	1
17351000006113	other replacement of aneurysmal femoral/popliteal artery nos				pvd																																	PVD	Diagnosis	1
173561000006111	replace aneurysm iliac artery by iliac/iliac art anast nec				pvd																																	PVD	Diagnosis	1
17361000006110	other replacement of aneurysmal femoral/popliteal artery os				pvd																																	PVD	Diagnosis	1
173641000006113	replace aneurysm popliteal artery by pop/fem anastomosis nec				pvd																																	PVD	Diagnosis	1
173671000006117	replace aneurysmal iliac artery by fem/fem artery anast nec				pvd																																	PVD	Diagnosis	1
1738171000006114	history of myocardial infarction				cad				CAD	3	MI																													1
1746171000000119	has heart failure management plan				hf															Disease management	Heart failure																			1
1747691000006119	emergency heart failure admission since last appointment				hf															Heart failure	Heart failure																			1
1752201000000116	frequency of angina				cad				CAD	Diagnosis	Angina																													1
1755871000000117	referral to atrial fibrillation clinic	arrhythmia	Possible	Atrial fibrillation & flutter	arrhythmia																																			1
1766061000006111	deep vein thrombosis clinical probability score				vte																				1															1
1773371000006117	cerebrovascular accident care plan				stroke																	History	Stroke	History of																1
1776621000006117	reason for referral: deep vein thrombosis				dvt																					DVT	Possible													1
1778488011	congestive cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Dilated cardiomyopathy							1
1780304018	cva annual review				stroke																	History	Stroke	History of																1
1780382017	deep vein thrombosis screening				dvt																					DVT														1
1780491019	acute st segment elevation myocardial infarction				mi							Myocardial infarction	Myocardial infarction																											1
1780501013	acute non-st segment elevation myocardial infarction				mi							Myocardial infarction	Myocardial infarction																											1
1784061000006118	preferred place of care for next exacerbation of heart failure				hf															Possible HF	Heart failure																			1
1784651000006110	referral for multidisciplinary stroke function improvement declined				stroke																	History	Stroke	History of																1
1786197015	coronary thrombosis				cad				CAD	Diagnosis	MI																													1
1786198013	thrombosis - coronary				cad				CAD	Diagnosis	MI																													1
1786921000006116	recurrent deep vein thrombosis				dvt																					DVT	Diagnosis	2.DVT other/NOS												1
1816101000006113	right ventricular failure				hf															Heart failure	Heart failure																			1
1819521000006119	history of palpitations	arrhythmia	History	History of arrhythmia	arrhythmia																																			1
1822161000006116	heart failure pathway protocol not followed				hf															Heart failure	Heart failure																			1
1823891000006113	coronary heart disease confirmed				cad				CAD	Diagnosis	Not specific																													1
1823951000006111	atrial fibrillation confirmed	arrhythmia	Diagnosis	Atrial fibrillation & flutter	arrhythmia																																			1
1823971000006118	peripheral arterial disease confirmed				pvd																																	PVD	Diagnosis	1
1824151000006112	atrial fibrillation clinical pathway protocol not followed	arrhythmia	Disease management	Atrial fibrillation & flutter	arrhythmia																																			1
1847121000006114	peripheral arterial disease				pvd																																	PVD	Diagnosis	1
18472010	acute congestive heart failure				hf															Heart failure	Heart failure																			1
1849841000006115	no history of deep vein thrombosis				dvt																					DVT	History	90. History of DVT/PE												1
1850881000006117	reason for influenza vaccine - chronic heart disease				cad				CAD	Diagnosis	Not specific																													1
1854971000006115	did not attend atrial fibrillation monitoring	arrhythmia	Disease management	Atrial fibrillation & flutter	arrhythmia																																			1
1855501000006118	atrial fibrillation monitoring in primary care	arrhythmia	Disease management	Atrial fibrillation & flutter	arrhythmia																																			1
1855511000006115	atrial fibrillation monitoring in secondary care	arrhythmia	Disease management	Atrial fibrillation & flutter	arrhythmia																																			1
1856361000006116	heart failure monitoring in primary care				hf															Disease management	Heart failure																			1
1856371000006111	heart failure monitoring in secondary care				hf															Disease management	Heart failure																			1
1856381000006114	heart failure monitoring default				hf															Disease management	Heart failure																			1
1856431000006118	atrial fibrillation follow-up	arrhythmia	Disease management	Atrial fibrillation & flutter	arrhythmia																																			1
1857051000006118	cerebrovascular disease management				cad				CAD	Diagnosis	Not specific																													1
1861731000006114	auras-af - consider the patient to have heart failure				hf															Heart failure	Heart failure																			1
1863321000006113	referral by stroke nurse specialist				stroke																	History	Stroke	History of																1
187331000006112	reconstruction of femoral or popliteal artery os				pvd																																	PVD	Diagnosis	1
1895641000006114	on coronary heart disease register				cad				CAD	Diagnosis	Not specific																													1
19216010	sinus tachycardia	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
1932021000006117	3d study - problems with atrial fibrillation management	arrhythmia	Diagnosis	Atrial fibrillation & flutter	arrhythmia																																			1
193601000006115	pulmonary embolus				pulmonaryembolism																								1	Diagnosis										1
1959541000006110	time cardiopulmonary resuscitation commenced				cad				CAD	Diagnosis	SCA																													1
1976701000006111	somatoform autonomic dysfunction, heart and cardiovascular system				cad				CAD	Diagnosis	Not specific																													1
1978701000006112	atrial fibrillation screen using bp monitor with af detector	arrhythmia	Disease management	Atrial fibrillation & flutter	arrhythmia																																			1
1991651000006115	severe left ventricular systolic dysfunction				hf															Heart failure	Heart failure																			1
1992451000006114	vte risk assessment - acute stroke				stroke																	Diagnosis	Stroke	Ischaemic																1
1994761000006112	referral to stroke rehabilitation service				stroke																	History	Stroke	History of																1
2008521000006110	referral to community stroke service				stroke																	History	Stroke	History of																1
2008601000006116	discharge from community stroke service				stroke																	History	Stroke	History of																1
201761000006112	profundoplasty of popliteal artery and patch repair of popliteal artery				pvd																																	PVD	Diagnosis	1
