prodcode	bnftext	ingredient	productname	class	extra	depression_drugs
86493	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	lustral 50mg tablets (lexon (uk) ltd)	SSRI	1	1
79163	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (kent pharma (uk) ltd)	SSRI	1	1
77607	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 10mg/5ml oral suspension	SSRI	1	1
82384	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	lustral 100mg tablets (lexon (uk) ltd)	SSRI	1	1
85763	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (genesis pharmaceuticals ltd)	SSRI	1	1
83101	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 25mg tablets (zentiva pharma uk ltd)	SSRI	1	1
85140	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (de pharmaceuticals)	SSRI	1	1
77538	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg/5ml oral suspension (drug tariff special order)	SSRI	1	1
85420	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (flamingo pharma (uk) ltd)	SSRI	1	1
75405	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg/5ml oral solution	SSRI	1	1
82497	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	lustral 50mg tablets (dowelhurst ltd)	SSRI	1	1
85005	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (dr reddy's laboratories (uk) ltd)	SSRI	1	1
85369	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 5mg/5ml oral suspension	SSRI	1	1
86037	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 25mg tablets (a a h pharmaceuticals ltd)	SSRI	1	1
85007	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (medreich plc)	SSRI	1	1
84470	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (consilient health ltd)	SSRI	1	1
77385	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	lustral 50mg tablets (de pharmaceuticals)	SSRI	1	1
84538	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (dowelhurst ltd)	SSRI	1	1
77707	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 75mg/5ml oral suspension	SSRI	1	1
81991	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (relonchem ltd)	SSRI	1	1
78278	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 12.5mg tablets	SSRI	1	1
86199	unknown	sertraline hydrochloride	sertraline 50mg tablets (almus pharmaceuticals ltd)	SSRI	1	1
73759	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 20mg/5ml oral suspension	SSRI	1	1
82884	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 25mg tablets	SSRI	1	1
82495	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	lustral 100mg tablets (dowelhurst ltd)	SSRI	1	1
86466	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (dr reddy's laboratories (uk) ltd)	SSRI	1	1
82195	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 25mg/5ml oral solution	SSRI	1	1
78626	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 15mg/5ml oral suspension	SSRI	1	1
83668	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 25mg/5ml oral suspension (drug tariff special order)	SSRI	1	1
84537	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (waymade healthcare plc)	SSRI	1	1
75952	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (tillomed laboratories ltd)	SSRI	1	1
73962	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (wockhardt uk ltd)	SSRI	1	1
85194	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (focus pharmaceuticals ltd)	SSRI	1	1
84656	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline oral solution	SSRI	1	1
2408	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	cipramil 40mg tablets (lundbeck ltd)	SSRI		1
56009	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (arrow generics ltd)	SSRI		1
63441	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (rivopharm (uk) ltd)	SSRI		1
53394	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (alliance healthcare (distribution) ltd)	SSRI		1
46977	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (actavis uk ltd)	SSRI		1
32546	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	paxoran 10mg tablet (ranbaxy (uk) ltd)	SSRI		1
476	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets	SSRI		1
34499	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (sandoz ltd)	SSRI		1
26016	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (sandoz ltd)	SSRI		1
34466	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (sandoz ltd)	SSRI		1
45286	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (niche generics ltd)	SSRI		1
34970	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (niche generics ltd)	SSRI		1
34586	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (a a h pharmaceuticals ltd)	SSRI		1
33720	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (ivax pharmaceuticals uk ltd)	SSRI		1
43519	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablet (neo laboratories ltd)	SSRI		1
52824	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (pliva pharma ltd)	SSRI		1
53787	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (bristol laboratories ltd)	SSRI		1
34822	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (zentiva pharma uk ltd)	SSRI		1
52354	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (de pharmaceuticals)	SSRI		1
67	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets	SSRI		1
59193	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (ranbaxy (uk) ltd)	SSRI		1
64423	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (accord healthcare ltd)	SSRI		1
34966	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (teva uk ltd)	SSRI		1
55033	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (de pharmaceuticals)	SSRI		1
63953	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	cipramil 20mg tablets (de pharmaceuticals)	SSRI		1
70790	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (milpharm ltd)	SSRI		1
34498	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablet (neo laboratories ltd)	SSRI		1
45304	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (teva uk ltd)	SSRI		1
34436	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (viatris uk healthcare ltd)	SSRI		1
34871	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (actavis uk ltd)	SSRI		1
71848	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg/5ml oral suspension	SSRI		1
34356	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (a a h pharmaceuticals ltd)	SSRI		1
3861	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	cipramil 10mg tablets (lundbeck ltd)	SSRI		1
69571	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (accord healthcare ltd)	SSRI		1
52408	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (kent pharma (uk) ltd)	SSRI		1
36746	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (a a h pharmaceuticals ltd)	SSRI		1
52607	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (bristol laboratories ltd)	SSRI		1
60839	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (almus pharmaceuticals ltd)	SSRI		1
67097	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (accord healthcare ltd)	SSRI		1
42660	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (almus pharmaceuticals ltd)	SSRI		1
45223	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (niche generics ltd)	SSRI		1
46926	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (zentiva pharma uk ltd)	SSRI		1
48026	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (almus pharmaceuticals ltd)	SSRI		1
71005	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (de pharmaceuticals)	SSRI		1
60568	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (waymade healthcare plc)	SSRI		1
49165	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (alliance healthcare (distribution) ltd)	SSRI		1
59650	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (milpharm ltd)	SSRI		1
56355	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (waymade healthcare plc)	SSRI		1
34603	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets (viatris uk healthcare ltd)	SSRI		1
34413	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (zentiva pharma uk ltd)	SSRI		1
41528	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (teva uk ltd)	SSRI		1
4770	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 40mg tablets	SSRI		1
1712	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	cipramil 20mg tablets (lundbeck ltd)	SSRI		1
32848	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (actavis uk ltd)	SSRI		1
29756	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	paxoran 20mg tablet (ranbaxy (uk) ltd)	SSRI		1
60888	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (sigma pharmaceuticals plc)	SSRI		1
54827	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg/5ml oral suspension	SSRI		1
34415	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (viatris uk healthcare ltd)	SSRI		1
52100	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 10mg tablets (arrow generics ltd)	SSRI		1
58476	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (milpharm ltd)	SSRI		1
34722	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablet (neo laboratories ltd)	SSRI		1
72373	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrobromide	citalopram 20mg tablets (ranbaxy (uk) ltd)	SSRI		1
815	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrochloride	cipramil 40mg/ml drops (lundbeck ltd)	SSRI		1
513	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrochloride	citalopram 40mg/ml oral drops sugar free	SSRI		1
56292	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrochloride	citalopram 40mg/ml oral drops sugar free (actavis uk ltd)	SSRI		1
72124	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrochloride	citalopram 40mg/ml oral drops sugar free (teva uk ltd)	SSRI		1
57936	selective serotonin re-uptake inhibitors (ssri)	citalopram hydrochloride	citalopram 40mg/ml oral drops sugar free (a a h pharmaceuticals ltd)	SSRI		1
63916	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	escitalopram 10mg tablets (actavis uk ltd)	SSRI		1
648	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	cipralex 10mg tablets (lundbeck ltd)	SSRI		1
6360	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	cipralex 20mg tablets (lundbeck ltd)	SSRI		1
20152	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	escitalopram 10mg/ml oral drops sugar free	SSRI		1
26056	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	cipralex 10mg/ml oral drops (lundbeck ltd)	SSRI		1
603	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	escitalopram 10mg tablets	SSRI		1
6218	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	escitalopram 20mg tablets	SSRI		1
6405	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	escitalopram 5mg tablets	SSRI		1
785	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	cipralex 5mg tablets (lundbeck ltd)	SSRI		1
41062	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	cipralex 20mg/ml oral drops (lundbeck ltd)	SSRI		1
40726	selective serotonin re-uptake inhibitors (ssri)	escitalopram oxalate	escitalopram 20mg/ml oral drops sugar free	SSRI		1
67736	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (dr reddy's laboratories (uk) ltd)	SSRI		1
62335	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	olena 20mg dispersible tablets (advanz pharma)	SSRI		1
61335	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozac 20mg capsules (mawdsley-brooks & company ltd)	SSRI		1
252	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozac 20mg/5ml liquid (eli lilly and company ltd)	SSRI		1
42107	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (niche generics ltd)	SSRI		1
67769	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (strides pharma uk ltd)	SSRI		1
22	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules	SSRI		1
42803	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg/5ml oral solution (ivax pharmaceuticals uk ltd)	SSRI		1
34202	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (genus pharmaceuticals ltd)	SSRI		1
67092	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (waymade healthcare plc)	SSRI		1
45224	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (sandoz ltd)	SSRI		1
19470	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (ranbaxy (uk) ltd)	SSRI		1
38890	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsule (milpharm ltd)	SSRI		1
67562	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 40mg capsules	SSRI		1
34849	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (tillomed laboratories ltd)	SSRI		1
45329	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (actavis uk ltd)	SSRI		1
42499	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 10mg tablets	SSRI		1
418	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozac 20mg capsules (eli lilly and company ltd)	SSRI		1
69685	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg/5ml oral solution sugar free (morningside healthcare ltd)	SSRI		1
69941	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 10mg capsules (a a h pharmaceuticals ltd)	SSRI		1
59358	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (milpharm ltd)	SSRI		1
69525	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (medreich plc)	SSRI		1
37256	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozep 20mg/5ml oral solution (rosemont pharmaceuticals ltd)	SSRI		1
67496	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 30mg capsules	SSRI		1
2548	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg/5ml oral solution	SSRI		1
67888	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 60mg capsules (kent pharma (uk) ltd)	SSRI		1
34856	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 60mg capsules (viatris uk healthcare ltd)	SSRI		1
67431	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 10mg capsules	SSRI		1
62155	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (phoenix healthcare distribution ltd)	SSRI		1
48220	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozac 20mg capsules (lexon (uk) ltd)	SSRI		1
30258	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg/5ml oral solution (teva uk ltd)	SSRI		1
45316	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (wockhardt uk ltd)	SSRI		1
4075	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 60mg capsules	SSRI		1
36893	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg/5ml oral solution sugar free	SSRI		1
19183	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (a a h pharmaceuticals ltd)	SSRI		1
