medcode	readterm	smokstatus
96992	smoking cessation - enhanced services administration	current or ex-smoker
97210	ex-cigarette smoker	ex-smoker
97643	fagerstrom test for nicotine dependence	current smoker
97973	maternal tobacco abuse	current smoker
98137	brief intervention for smoking cessation	current or ex-smoker
98154	referral to nhs stop smoking service	current or ex-smoker
98177	non-smoker annual review - enhanced services administration	non-smoker
98245	stop smoking face to face follow-up	current or ex-smoker
98347	current smoker annual review - enhanced services admin	current smoker
98447	ex-smoker annual review - enhanced services administration	ex-smoker
98493	smoking cessatn monitor template complet - enhanc serv admin	current or ex-smoker
99838	recently stopped smoking	ex-smoker
100099	smoking cessation advice declined	current smoker
100495	ex roll-up cigarette smoker	ex-smoker
100963	ex-smoker annual review	ex-smoker
101210	consent given for smoking cessation data sharing	current or ex-smoker
101325	declin cons follow-up evaluation after smoking cess interven	current or ex-smoker
101338	failed attempt to stop smoking	current smoker
101385	consent given for follow-up by smoking cessation team	current or ex-smoker
101634	consent given follow-up after smoking cessation intervention	current or ex-smoker
101764	practice based smoking cessation programme start date	current or ex-smoker
101851	declined consent for follow-up by smoking cessation team	current or ex-smoker
101854	declined consent for smoking cessation data sharing	current or ex-smoker
101878	non-smoker annual review	non-smoker
102361	referral for smoking cessation service offered	current smoker
102951	lost to smoking cessation follow-up	current or ex-smoker
103507	stop smoking service opportunity signposted	current smoker
104086	stop smoking invitation first sms text message	current smoker
104185	smoking cessation drug therapy declined	current smoker
104230	smoking cessation programme declined	current smoker
104310	current smoker annual review	current smoker
105572	stop smoking invitation short message service text message	current smoker
105710	smoking cessation 12 week follow-up	current or ex-smoker
106359	referral to smoking cessation service	current smoker
106384	stop smoking invitation second sms text message	current smoker
106385	stop smoking invitation third sms text message	current smoker
106391	referral to smoking cessation service declined	current smoker
107792	[x]mental and behav dis due to use tobacco: dependence syndr	current smoker
109587	smoke nos from conflagration in store	current smoker
109716	issue of nicotine replacement therapy voucher	current smoker
110692	varenicline smoking cessation therapy offered	current smoker
111853	[x]mental & behav dis due to use tobacco: acute intoxication	current smoker
112529	[x]mental & behav dis due to use tobacco: psychotic disorder	current smoker
