medcodeid	term
300871017	[x]hypertension secondary to other renal disorders
305764016	other pre-existing hypertension in preg/childbirth/puerp
305818015	pre-eclampsia or eclampsia with pre-existing hypertension
3117411000006118	high blood pressure
3117421000006114	hypertensive vascular disease
3117431000006112	hypertensive vascular degeneration
3117451000006117	bp - high blood pressure
3117461000006115	systemic arterial hypertension
3117471000006110	hbp - high blood pressure
3117481000006113	ht - hypertension
3117491000006111	high blood pressure disorder
3117501000006115	bp+ - hypertension
3117511000006117	htn - hypertension
3117521000006113	hypertensive disorder, systemic arterial
3119661000006114	hypertensive nephropathy
3135013	benign essential hypertension
324338010	other hypertensive agent poisoning
324342013	hypertensive agent poisoning nos
331291010	adverse reaction to other antihypertensives
331302012	adverse reaction to antihypertensives nos
3468501000006117	systemic primary arterial hypertension
350517010	thromboembolic pulmonary hypertension
350601000000116	high cost hypertension drugs
351341000000118	high cost hypertension drugs nos
351361000000117	other specified high cost hypertension drugs
351381000000114	primary pulmonary hypertension drugs band 1
351401000000114	primary pulmonary hypertension drugs band 2
351421000000117	primary pulmonary hypertension drugs band 3
351441000000112	primary pulmonary hypertension drugs band 4
351481000006111	[x] adverse reaction to antihypertensives nos
356121000006111	[x] adverse reaction to other antihypertensives
3642801000006112	malignant hypertension
3654631000006113	pulmonary hypertension
3654641000006115	pht - pulmonary hypertension
3693711000006119	benign secondary renovascular hypertension
3784371000006115	accelerated essential hypertension
3898601000006112	pre-existing hypertension in obstetric context
3898611000006110	pre-existing hypertension complicating pregnancy
3950631000006119	accelerated secondary hypertension
395751018	essential hypertension nos
395753015	hypertensive renal disease nos
39871000006113	oth pre-exist hypert in preg/childb/puerp -del with p/n comp
404471000006113	[x]oth antihyperten drug caus advers eff in therap use, nec
4199551000006110	antihypertensive poisoning
4199561000006112	poisoning caused by antihypertensive agent
422681000006111	[x]poisoning by other antihypertensive drugs, nec
4356081000006115	hypertension due to renovascular disease
43850011	primary pulmonary hypertension
443764015	on treatment for hypertension
451424017	antihypertensive therapy
4540441000006117	history of hypertension
4634851000006119	treatment for hypertension started
4634871000006112	hypertensive treatment changed
4634891000006113	treatment for hypertension stopped
47076011	renal hypertension
4775791000006113	malignant secondary renovascular hypertension
4775831000006118	hypertension secondary to endocrine disorder
4775861000006110	hypertension caused by drug
5057801000006113	chronic thromboembolic pulmonary hypertension
523801000006119	bp - hypertensive disease
530161000000111	trial reduction of antihypertensive therapy
530221000000112	trial withdrawal of antihypertensive therapy
53452019	secondary hypertension
535591000000118	trial withdrawal of antihypertensive therapy declined
535651000000113	trial reduction of antihypertensive therapy declined
64168014	hypertensive disease
64172013	high blood pressure
64282015	hypertensive renal disease
790031000006119	hypertension annual review
790121000006116	hypertension nos
80224019	diastolic hypertension
8286321000006117	resistant hypertension
8286581000006114	stage 2 hypertension
84111015	hypertensive encephalopathy
84112010	hypertensive crisis
884121000006111	malignant hypertension
887811000006117	preg.+ pre-existing hypertensn
905451000006118	[rfc] pulmonary embolism/pulmonary hypertension
909441000006118	[rfc] hypertension
93494011	systolic hypertension
940001000006110	hypertension medication review
99042012	essential hypertension
99047018	primary hypertension
