medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	ckd_4_5	dialysis	transplant	ckd_1_2	ckd_3_5	kidney_ppv	kidney_flu
754061000006111	kidney transplant with complication, without blame	TB001	TB00100	88797001	147234011			1			1	1
177251000006119	renal transplant with complication, without blame	TB001-1	TB00111	88797001	147234011			1			1	1
5052921000006110	haemofiltration therapy	^ESCTHA505292		233581009	1490280018		1				1	1
5052931000006113	hemofiltration therapy	^ESCTHE505293		233581009	1490512016		1				1	1
3973811000006118	chronic renal failure syndrome	^ESCTCH397381		90688005	150286014	1				1	1	1
8104261000006112	ckd (chronic kidney disease) stage 3 without proteinuria	^ESCTCK810426		324281000000104	1676861000000110					1		1
8104231000006115	ckd (chronic kidney disease) stage 3 with proteinuria	^ESCTCK810423		324251000000105	1676871000000115					1		1
8104191000006113	ckd (chronic kidney disease) stage 2 without proteinuria	^ESCTCK810419		324211000000106	1676881000000118				1			
8104161000006117	ckd (chronic kidney disease) stage 2 with proteinuria	^ESCTCK810416		324181000000105	1677031000000110				1			
8104131000006114	ckd (chronic kidney disease) stage 1 without proteinuria	^ESCTCK810413		324151000000104	1677041000000118				1			
8104101000006118	ckd (chronic kidney disease stage) 1 with proteinuria	^ESCTCK810410		324121000000109	1677051000000115				1			
8104551000006112	ckd (chronic kidney disease) stage 5 without proteinuria	^ESCTCK810455		324541000000105	1692911000000112	1				1	1	1
8104301000006115	ckd (chronic kidney disease) stage 3a with proteinuria	^ESCTCK810430		324311000000101	1692921000000118					1		1
8104351000006116	ckd (chronic kidney disease) stage 3a without proteinuria	^ESCTCK810435		324341000000100	1692931000000116					1		1
8104381000006112	ckd (chronic kidney disease) stage 3b with proteinuria	^ESCTCK810438		324371000000106	1692941000000113					1		1
8104411000006110	ckd (chronic kidney disease) stage 3b without proteinuria	^ESCTCK810441		324411000000105	1692951000000111					1		1
8104451000006111	ckd (chronic kidney disease) stage 4 with proteinuria	^ESCTCK810445		324441000000106	1693001000000116	1				1	1	1
8104481000006115	ckd (chronic kidney disease) stage 4 without proteinuria	^ESCTCK810448		324471000000100	1693051000000115	1				1	1	1
8104511000006111	ckd (chronic kidney disease) stage 5 with proteinuria	^ESCTCK810451		324501000000107	1693061000000117	1				1	1	1
1705621000000113	flushing of peritoneal dialysis catheter	7L1B2	7L1B200	238317004	1705621000000113		1				1	1
1726511000006111	acute-on-chronic renal failure	EMISNQAC14		1726511000006107	1726511000006111	1				1	1	1
461420012	[x]other dialysis	ZVu3G	ZVu3G00	108241001	172680015		1				1	1
754781000006116	kidney dialysis with complication, without blame	TB11	TB11.00	116223007	178923014		1				1	1
176711000006111	renal dialysis with complication, without blame	TB11-1	TB11.11	116223007	178923014		1				1	1
207941012	acquired arteriovenous fistula	G760	G760.00	129214009	207941012		1				1	1
2189151000000117	urological complication of renal transplant	SP08T	SP08T00	843691000000100	2189151000000117			1			1	1
2191221000000118	vascular complication of renal transplant	SP08W	SP08W00	844661000000109	2191221000000118			1			1	1
2195121000000113	ruptured aneurysm of dialysis vascular access	G72C	G72C.00	846461000000102	2195121000000113		1				1	1
1847091000006110	aneurysm of superficialised artery of dialysis av fistula	G72D0	G72D000	846671000000106	2195541000000114		1				1	1
2195661000000114	aneurysm of dialysis arteriovenous fistula	G72D	G72D.00	846731000000104	2195661000000114		1				1	1
2195721000000112	aneurysm of needle site of dialysis arteriovenous fistula	G72D1	G72D100	846761000000109	2195721000000112		1				1	1
1847111000006118	aneurysm of anastomotic site of dialysis av fistula	G72D2	G72D200	846801000000104	2195801000000114		1				1	1
2197961000000113	rupture of artery of transplanted kidney	SP08X	SP08X00	847791000000101	2197961000000113			1			1	1
2198001000000111	rupture of vein of transplanted kidney	SP08Y	SP08Y00	847811000000100	2198001000000111			1			1	1
2198141000000110	stenosis of vein of transplanted kidney	SP08P	SP08P00	847881000000107	2198141000000110			1			1	1
2209021000000112	aneurysm of vein of transplanted kidney	SP08S	SP08S00	852981000000100	2209021000000112			1			1	1
2209101000000119	aneurysm of artery of transplanted kidney	SP08Q	SP08Q00	853021000000108	2209101000000119			1			1	1
2210341000000113	stenosis of dialysis vascular access	Gy1	Gy1..00	853631000000103	2210341000000113		1				1	1
2210381000000117	thrombosis of dialysis vascular access	Gy2	Gy2..00	853651000000105	2210381000000117		1				1	1
2211311000000117	haemodialysis first use syndrome	SP0F	SP0F.00	236539007	2211311000000117		1				1	1
2211591000000116	thrombus in peritoneal dialysis catheter	SP0E1	SP0E100	854131000000107	2211591000000116		1				1	1
2211671000000119	anaphylactoid reaction due to haemodialysis	SP0G	SP0G.00	854161000000102	2211671000000119		1				1	1
2234541000000115	thrombosis of artery of transplanted kidney	SP08Z	SP08Z00	864271000000105	2234541000000115			1			1	1
2234621000000111	thrombosis of vein of transplanted kidney	SP08a	SP08a00	864311000000105	2234621000000111			1			1	1
2237821000000118	occlusion of dialysis vascular access	Gy3	Gy3..00	865761000000105	2237821000000118		1				1	1
2237861000000114	infection of dialysis vascular access	Gy4	Gy4..00	865781000000101	2237861000000114		1				1	1
2237901000000119	haemorrhage of dialysis vascular access	Gy5	Gy5..00	865801000000100	2237901000000119		1				1	1
2237981000000112	stenosis of dialysis arteriovenous graft	Gy10	Gy10.00	865841000000102	2237981000000112		1	1			1	1
2238301000000119	thrombosis of dialysis arteriovenous fistula	Gy21	Gy21.00	866001000000102	2238301000000119		1				1	1
2238381000000112	occlusion of dialysis arteriovenous graft	Gy30	Gy30.00	866041000000104	2238381000000112		1	1			1	1
2238421000000115	occlusion of dialysis arteriovenous fistula	Gy31	Gy31.00	866061000000103	2238421000000115		1				1	1
2240321000000114	infection of dialysis arteriovenous graft	Gy40	Gy40.00	430332005	2240321000000114		1	1			1	1
2240871000000116	haemorrhage of dialysis arteriovenous fistula	Gy51	Gy51.00	867011000000102	2240871000000116		1				1	1
2240951000000115	rupture of dialysis arteriovenous graft	Gy60	Gy60.00	867051000000103	2240951000000115		1	1			1	1
7091541000006113	post-transplantation of kidney examination of recipient	^ESCTPO709154		428645009	2296631000000110			1			1	1
1940561000006118	ckd with gfr category g1 & albuminuria category a1	1Z1M	1Z1M.00	949401000000103	2426331000000114				1			
8345541000006113	chronic kidney disease with glomerular filtration rate category g1 and albuminuria category a1	^ESCTCH834554		949401000000103	2426361000000116				1			
1940571000006113	ckd with gfr category g1 & albuminuria category a2	1Z1N	1Z1N.00	949421000000107	2426381000000113				1			
8345571000006117	chronic kidney disease with glomerular filtration rate category g1 and albuminuria category a2	^ESCTCH834557		949421000000107	2426411000000110				1			
1940581000006111	ckd with gfr category g1 & albuminuria category a3	1Z1P	1Z1P.00	949481000000108	2426511000000114				1			
8345611000006110	chronic kidney disease with glomerular filtration rate category g1 and albuminuria category a3	^ESCTCH834561		949481000000108	2426541000000110				1			
1940591000006114	ckd with gfr category g2 & albuminuria category a1	1Z1Q	1Z1Q.00	949521000000108	2426601000000111				1			
8345651000006111	chronic kidney disease with glomerular filtration rate category g2 and albuminuria category a1	^ESCTCH834565		949521000000108	2426671000000115				1			
1940601000006118	ckd with gfr category g2 & albuminuria category a2	1Z1R	1Z1R.00	949561000000100	2426691000000116				1			
8345681000006115	chronic kidney disease with glomerular filtration rate category g2 and albuminuria category a2	^ESCTCH834568		949561000000100	2426801000000110				1			
1940611000006115	ckd with gfr category g2 & albuminuria category a3	1Z1S	1Z1S.00	949621000000109	2426821000000118				1			
8345731000006113	chronic kidney disease with glomerular filtration rate category g2 and albuminuria category a3	^ESCTCH834573		949621000000109	2426851000000111				1			
8345881000006116	chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a1	^ESCTCH834588		949881000000106	2427351000000116					1		1
1940621000006111	ckd with gfr category g3a & albuminuria category a1	1Z1T	1Z1T.00	949881000000106	2427381000000110					1		1
1940631000006114	ckd with gfr category g3a & albuminuria category a2	1Z1V	1Z1V.00	949901000000109	2427401000000110					1		1
8345901000006119	chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a2	^ESCTCH834590		949901000000109	2427431000000116					1		1
1940641000006116	ckd with gfr category g3a & albuminuria category a3	1Z1W	1Z1W.00	949921000000100	2427451000000111					1		1
8345931000006110	chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a3	^ESCTCH834593		949921000000100	2427481000000117					1		1
1940651000006119	ckd with gfr category g3b & albuminuria category a1	1Z1X	1Z1X.00	950061000000103	2427751000000117					1		1
8346001000006110	chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a1	^ESCTCH834600		950061000000103	2427781000000111					1		1
1940661000006117	ckd with gfr category g3b & albuminuria category a2	1Z1Y	1Z1Y.00	950081000000107	2427801000000112					1		1
8346021000006117	chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a2	^ESCTCH834602		950081000000107	2427831000000118					1		1
1940671000006112	ckd with gfr category g3b & albuminuria category a3	1Z1Z	1Z1Z.00	950101000000101	2427851000000113					1		1
8346041000006112	chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a3	^ESCTCH834604		950101000000101	2427881000000119					1		1
1940501000006119	ckd with gfr category g4 & albuminuria category a1	1Z1a	1Z1a.00	950181000000106	2428021000000111	1				1	1	1
8346101000006114	chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a1	^ESCTCH834610		950181000000106	2428071000000110	1				1	1	1
1940511000006116	ckd with gfr category g4 & albuminuria category a2	1Z1b	1Z1b.00	950211000000107	2428091000000114	1				1	1	1
8346121000006116	chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a2	^ESCTCH834612		950211000000107	2428121000000110	1				1	1	1
1940521000006112	ckd with gfr category g4 & albuminuria category a3	1Z1c	1Z1c.00	950231000000104	2428141000000115	1				1	1	1
8346151000006113	chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a3	^ESCTCH834615		950231000000104	2428171000000114	1				1	1	1
1940531000006110	ckd with gfr category g5 & albuminuria category a1	1Z1d	1Z1d.00	950251000000106	2428191000000113	1				1	1	1
8346171000006115	chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a1	^ESCTCH834617		950251000000106	2428261000000114	1				1	1	1
1940541000006117	ckd with gfr category g5 & albuminuria category a2	1Z1e	1Z1e.00	950291000000103	2428281000000117	1				1	1	1
8346201000006116	chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a2	^ESCTCH834620		950291000000103	2428311000000119	1				1	1	1
1940551000006115	ckd with gfr category g5 & albuminuria category a3	1Z1f	1Z1f.00	950311000000102	2428331000000110	1				1	1	1
8346221000006114	chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a3	^ESCTCH834622		950311000000102	2428361000000117	1				1	1	1
4668961000006110	autotransplant kidney	^ESCTAU466896		175899003	2475528018			1			1	1
4668971000006115	renal autotransplantation	^ESCTRE466897		175899003	2475529014			1			1	1
4668981000006117	renal autotransplantation or reimplantation of kidney	^ESCTRE466898		175899003	2475530016			1			1	1
251923016	h/o: kidney recipient	14S2	14S2.00	161665007	251923016			1			1	1
303853013	nephrotic syndrome in diseases ec nos	K01xz	K01xz00	197603000	2575708013	1				1	1	1
3619241000006113	systemic lupus erythematosus glomerulonephritis syndrome	^ESCTSY361924		68815009	2621068010	1				1	1	1
3245881000006114	end stage chronic renal failure	^ESCTEN324588		46177005	2647096016	1				1	1	1
4542521000006112	history of - kidney recipient	^ESCTHI454252		161665007	2666912015			1			1	1
7068291000006112	extracorporeal albumin hemodialysis	^ESCTEX706829		427053002	2674485018		1				1	1
2674486017	extracorporeal albumin haemodialysis	7L1f0	7L1f000	427053002	2674486017		1				1	1
2675886019	creation of graft fistula for dialysis	7A606	7A60600	426340003	2675886019		1	1			1	1
7081801000006114	removal of thrombus of arteriovenous fistula	^ESCTRE708180		427992007	2691808018		1				1	1
2692168016	automated peritoneal dialysis	7L1A4	7L1A400	428648006	2692168016		1				1	1
380101000000116	post-transplantation of kidney examination, recipient	7B0F3	7B0F300	428645009	2693113012			1			1	1
360031000000113	thrombectomy of arteriovenous fistula	7A605	7A60500	427992007	2694416018		1				1	1
387351000000117	post-transplantation of kidney examination, live donor	7B0F4	7B0F400	429496005	2694666017			1			1	1
7688001000006116	allotransplantation of kidney with dbd (donation after brain stem death)	^ESCTAL768800		711411006	2700121000000114			1			1	1
7688041000006119	allotransplantation of kidney with dcd (donation after cardiac death)	^ESCTAL768804		711413009	2700131000000111			1			1	1
272134015	insertion of arteriovenous prosthesis	7A600	7A60000	175777002	272134015		1				1	1
272139013	attention to arteriovenous shunt	7A602	7A60200	175779004	272139013		1				1	1
272140010	removal of infected arteriovenous shunt	7A603	7A60300	175780001	272140010		1				1	1
743721000006115	ligation of acquired arteriovenous fistula	7A611-1	7A61111	175788008	272153013		1				1	1
272153013	ligation of acquired arteriovenous fistula	7A614	7A61400	175788008	272153013		1				1	1
500371000006119	autotransplant of kidney	7B000	7B00000	175899003	272315011			1			1	1
4668951000006113	autotransplantation of kidney	^ESCTAU466895		175899003	272315011			1			1	1
90471000006113	transplantation of kidney from live donor	7B001	7B00100	175901007	272318013			1			1	1
4669011000006116	live donor renal allotransplant	^ESCTLI466901		175901007	272319017			1			1	1
272320011	allotransplantation of kidney from live donor	7B001-1	7B00111	175901007	272320011			1			1	1
4669031000006110	live donor renal allograft	^ESCTLI466903		175901007	272321010			1			1	1
399381000000115	allotransplantation of kidney from cadaver nec	7B005	7B00500	175902000	272323013			1			1	1
4669051000006115	cadaver renal allotransplant	^ESCTCA466905		175902000	272323013			1			1	1
4669061000006118	cadaver renal allograft	^ESCTCA466906		175902000	272324019			1			1	1
272325018	cadaveric renal transplant	7B002-2	7B00212	175902000	272325018			1			1	1
478131000006115	allotransplantation of kidney from cadaver	7B002-1	7B00211	175902000	272325018			1			1	1
90461000006118	transplantation of kidney from cadaver	7B002	7B00200	175902000	272325018			1			1	1
272389014	exploration of renal transplant	7B063	7B06300	175948009	272389014			1			1	1
4669451000006113	exploration of kidney transplant	^ESCTEX466945		175948009	272390017			1			1	1
7118441000006111	infection of arteriovenous graft for hemodialysis	^ESCTIN711844		430332005	2765719013		1	1			1	1
2767154014	chronic kidney disease stage 5	K055	K055.00	433146000	2767154014	1				1	1	1
304111000000114	chronic kidney disease stage 5	1Z14	1Z14.00	433146000	2767154014	1				1	1	1
2767383018	chronic kidney disease stage 1	K051	K051.00	431855005	2767383018				1			
304031000000117	chronic kidney disease stage 1	1Z10	1Z10.00	431855005	2767383018				1			
304051000000112	chronic kidney disease stage 2	1Z11	1Z11.00	431856006	2767384012				1			
2767384012	chronic kidney disease stage 2	K052	K052.00	431856006	2767384012				1			
2767385013	chronic kidney disease stage 4	K054	K054.00	431857002	2767385013	1				1	1	1
304091000000116	chronic kidney disease stage 4	1Z13	1Z13.00	431857002	2767385013	1				1	1	1
7118451000006113	infection of dialysis graft	^ESCTIN711845		430332005	2772309013		1	1			1	1
304071000000115	chronic kidney disease stage 3	1Z12	1Z12.00	433144002	2773184015					1		1
2773184015	chronic kidney disease stage 3	K053	K053.00	433144002	2773184015					1		1
7118431000006118	infection of arteriovenous graft for haemodialysis	^ESCTIN711843		430332005	2773637019		1	1			1	1
228131000006117	placement ambulatory dialysis apparatus - compens renal fail	7L1B-1	7L1B.11	180272001	278839019		1				1	1
228101000006113	placement ambulatory apparatus compensation renal failure	7L1B	7L1B.00	180272001	278839019	1	1			1	1	1
773041000006111	insertion of ambulatory peritoneal dialysis catheter	7L1B0	7L1B000	180272001	278839019		1				1	1
181021000006119	removal of ambulatory peritoneal dialysis catheter	7L1B1	7L1B100	180273006	278840017		1				1	1
4694051000006116	removal of chronic ambulatory peritoneal dialysis catheter	^ESCTRE469405		180273006	278840017		1				1	1
278844014	insertion of temporary peritoneal dialysis catheter	7L1C0	7L1C000	180277007	278844014		1				1	1
228211000006117	placement other apparatus for compensation for renal failure	7L1C	7L1C.00	180277007	278844014	1	1			1	1	1
228231000006111	placement other apparatus- compensate for renal failure os	7L1Cy	7L1Cy00	180277007	278844014	1	1			1	1	1
228221000006113	placement other apparatus- compensate for renal failure nos	7L1Cz	7L1Cz00	180277007	278844014	1	1			1	1	1
637771000000113	ligation of arteriovenous dialysis fistula	7A619	7A61900	438546008	2792170012		1				1	1
638111000000115	ligation of arteriovenous dialysis graft	7A61A	7A61A00	438548009	2792171011		1	1			1	1
460644012	[v]kidney transplanted	ZV420	ZV42000	161665007	2793932016			1			1	1
4788461000006111	malarial nephrosis	^ESCTMA478846		197606008	2817867011	1				1	1	1
3319141000006113	goodpasture syndrome	^ESCTGO331914		50581000	2838064014	1				1	1	1
5095191000006114	goodpasture disease	^ESCTGO509519		236506009	2840433018	1				1	1	1
2528541000006114	bilateral total nephrectomy	^ESCTBI252854		1866009	2841502013			1			1	1
284213011	renal transplant planned	8L50	8L50.00	183985008	284213011			1			1	1
7147761000006113	ckd stage 2	^ESCTCK714776		431856006	2870828017				1			
7174851000006111	ckd stage 5	^ESCTCK717485		433146000	2870834012	1				1	1	1
7147741000006114	ckd stage 1	^ESCTCK714774		431855005	2871055019				1			
7147781000006115	ckd stage 4	^ESCTCK714778		431857002	2872614018	1				1	1	1
7174791000006111	ckd stage 3	^ESCTCK717479		433144002	2873059015					1		1
7367701000006114	infection of arteriovenous fistula for hemodialysis	^ESCTIN736770		449288005	2901094014		1				1	1
1870801000006111	infection of dialysis arteriovenous fistula	Gy41	Gy41.00	449288005	2901095010		1				1	1
11930831000006111	infection of hemodialysis arteriovenous fistula	^ESCT1193083		449288005	2901096011		1				1	1
7367721000006116	infection of hd av fistula	^ESCTIN736772		449288005	2902088016		1				1	1
7367731000006118	infection of hd arteriovenous fistula	^ESCTIN736773		449288005	2902089012		1				1	1
7367741000006111	infection of arteriovenous fistula for haemodialysis	^ESCTIN736774		449288005	2902090015		1				1	1
3304621000006111	anemia of chronic renal insufficiency	^ESCTAN330462		49708008	2969200013	1				1	1	1
3304631000006114	anaemia of chronic renal insufficiency	^ESCTAN330463		49708008	2969201012	1				1	1	1
557831000000110	chronic kidney disease stage 3b	1Z16	1Z16.00	700379002	2990361014					1		1
557811000000119	chronic kidney disease stage 3a	1Z15	1Z15.00	700378005	2990386017					1		1
299673010	hypertensive heart and renal disease with renal failure	G233	G233.00	194780003	299673010	1				1	1	1
789941000006117	hyperten heart&renal dis+both(congestv)heart and renal fail	G234	G234.00	194781004	299674016	1				1	1	1
4788421000006117	nephrotic syndrome due to diabetes mellitus	^ESCTNE478842		197605007	3013381011	1				1	1	1
5094141000006118	acute on chronic renal failure	^ESCTAC509414		236433006	3037716017	1				1	1	1
303825013	nephrotic syndrome with proliferative glomerulonephritis	K010	K010.00	197589005	303825013	1				1	1	1
303826014	nephrotic syndrome with membranous glomerulonephritis	K011	K011.00	197590001	303826014	1				1	1	1
677621000006112	nephrotic syndrome+membranoproliferative glomerulonephritis	K012	K012.00	197591002	303827017	1				1	1	1
303832016	nephrotic syndrome, minor glomerular abnormality	K014	K014.00	197593004	303832016	1				1	1	1
303833014	nephrotic syndrome, focal and segmental glomerular lesions	K015	K015.00	197594005	303833014	1				1	1	1
303834015	nephrotic syndrome, diffuse membranous glomerulonephritis	K016	K016.00	197595006	303834015	1				1	1	1
677461000006115	nephrotic syn difus mesangial prolifertiv glomerulonephritis	K017	K017.00	197596007	303835019	1				1	1	1
677481000006113	nephrotic syn,difus endocapilary proliftv glomerulonephritis	K018	K018.00	197597003	303836018	1				1	1	1
677471000006110	nephrotic syn,diffuse mesangiocapillary glomerulonephritis	K019	K019.00	197598008	303837010	1				1	1	1
303838017	nephrotic syndrome, dense deposit disease	K01A	K01A.00	197599000	303838017	1				1	1	1
303839013	nephrotic syndrome, diffuse crescentic glomerulonephritis	K01B	K01B.00	197600002	303839013	1				1	1	1
710221000006113	finnish nephrosis syndrome	K01w0	K01w000	197601003	303840010	1				1	1	1
703481000006116	microcystic type congenital nephrotic syndrome	K01w0-1	K01w011	197601003	303840010	1				1	1	1
4788371000006112	cnf - finnish congenital nephrotic syndrome	^ESCTCN478837		197601003	303841014	1				1	1	1
303842019	congenital finnish nephrosis	K01w0-2	K01w012	197601003	303842019	1				1	1	1
303844018	nephrotic syndrome in diseases ec	K01x	K01x.00	197603000	303844018	1				1	1	1
303845017	nephrotic syndrome in amyloidosis	K01x0	K01x000	197604006	303845017	1				1	1	1
303846016	nephrotic syndrome in diabetes mellitus	K01x1	K01x100	197605007	303846016	1				1	1	1
303848015	nephrotic syndrome in malaria	K01x2	K01x200	197606008	303848015	1				1	1	1
303849011	nephrotic syndrome in polyarteritis nodosa	K01x3	K01x300	197607004	303849011	1				1	1	1
305162014	[x]rapidly progressive nephritic syndrome, other	Kyu07	Kyu0700	197679002	303967017	1				1	1	1
458521000006111	acute nephrotic syndrm diffuse crescentic glomerulonephritis	K0A07	K0A0700	197688006	303976012	1				1	1	1
303977015	rapidly progressive nephritic syndrome	K0A1	K0A1.00	197689003	303977015	1				1	1	1
191891000006110	rapid progres nephritic syn focal+segmental glomerulr lesion	K0A11	K0A1100	197691006	303979017	1				1	1	1
191861000006119	rapid progres neph syn diffuse membranous glomerulonephritis	K0A12	K0A1200	197692004	303980019	1				1	1	1
165061000006114	rpd prog neph syn df mesangial prolifratv glomerulonephritis	K0A13	K0A1300	197693009	303981015	1				1	1	1
191851000006116	rapid progres neph syn df endocapilary prolifv glomnephritis	K0A14	K0A1400	197694003	303982010	1				1	1	1
191841000006118	rapid prog neph syn df mesangiocapillary glomerulonephritis	K0A15	K0A1500	197695002	303983017	1				1	1	1
191901000006114	rapid progressive nephritic syndrome, dense deposit disease	K0A16	K0A1600	197696001	303984011	1				1	1	1
191881000006112	rapid progres nephritic syn df crescentic glomerulonephritis	K0A17	K0A1700	197697005	303985012	1				1	1	1
177341000006111	renal tubulo-interstitial disordrs in transplant rejectn	K0B5	K0B5.00	197747000	304045012	1		1		1	1	1
424791000006110	[x]renal tubulo-interstitial disorders/transplant rejection	Kyu1C	Kyu1C00	197747000	304045012			1			1	1
372621000000114	allotransplantation of kidney from cadaver, heart-beating	7B003	7B00300	711411006	3078356013			1			1	1
7688541000006114	transplantation of kidney regime	^ESCTTR768854		711446003	3078442012			1			1	1
1550021000006110	os interventions associated with transplantation of kidney	7B0Fy	7B0Fy00	711446003	3078450015			1			1	1
366671000000118	interventions associated with transplantation of kidney	7B0F	7B0F.00	711446003	3078450015			1			1	1
380061000000118	interventions associated with transplantation of kidney nos	7B0Fz	7B0Fz00	711446003	3078450015			1			1	1
1549841000006116	allotransplantation kidney from cadaver, heart non-beating	7B004	7B00400	711413009	3078484016			1			1	1
324973015	kidney transplant failure and rejection	SP083	SP08300	213150003	324973015			1			1	1
4898631000006119	accidental cut, puncture, perforation or hemorrhage during kidney dialysis	^ESCTAC489863		216878005	329025013		1				1	1
441151000006115	accid cut,puncture,perf,h'ge - kidney dialysis	TA020	TA02000	216878005	329026014		1				1	1
446291000006111	accidental cut/puncture/perf/haem'ge during renal dialysis	TA020-1	TA02011	216878005	329026014		1				1	1
329115018	failure of sterile precautions during perfusion	TA22	TA22.00	216932003	329115018		1				1	1
329118016	failure of sterile precautions during perfusion nos	TA22z	TA22z00	216932003	329115018		1				1	1
329117014	failure of sterile precautions during other perfusion	TA22y	TA22y00	216932003	329115018		1				1	1
384641000006114	[x]failure sterile precautions dur kidney dialys/other perf	U6122	U612200	216933008	329116017		1				1	1
329116017	failure of sterile precautions during kidney dialysis	TA220	TA22000	216933008	329116017		1				1	1
663551000006118	failure of sterile precautions during renal dialysis	TA220-1	TA22011	216933008	329116017		1				1	1
1927751000006113	disorder associated with dialysis	SP0H	SP0H.00	19765000	33288015		1				1	1
394661000006112	[x]kidny dialysis caus abn reac pt/lat comp no misad at time	U641	U641.00	19765000	33288015		1				1	1
5051121000006115	creation of cimino fistula	^ESCTCR505112		233468004	349822017		1				1	1
5051131000006117	creation of brescia-cimino fistula	^ESCTCR505113		233468004	349823010		1				1	1
600481000006118	creation of radial-cephalic fistula	7A601-1	7A60111	233468004	349824016		1				1	1
349825015	creation of brachial-cephalic fistula	7A601-2	7A60112	233469007	349825015		1				1	1
5051151000006112	creation brachiocephalic fistula	^ESCTCR505115		233469007	349826019		1				1	1
349856011	banding of arteriovenous fistula	7A604	7A60400	233491000	349856011		1				1	1
349998013	haemofiltration	7L1A3	7L1A300	233581009	349998013		1				1	1
5052891000006116	hf - hemofiltration	^ESCTHF505289		233581009	349999017		1				1	1
5052901000006117	hf - haemofiltration	^ESCTHF505290		233581009	350000011		1				1	1
5052911000006119	hemofiltration	^ESCTHE505291		233581009	350001010		1				1	1
12704471000006116	end-stage renal disease	^ESCT1270447		46177005	3517959016	1				1	1	1
353974015	xenograft renal transplant	7B006	7B00600	236138007	353974015			1			1	1
127091000006118	steroid sensitive nephrotic syndrome	K013-2	K013.12	236380004	354331019	1				1	1	1
5093331000006111	steroid-responsive nephrotic syndrome	^ESCTST509333		236380004	354332014	1				1	1	1
5093341000006118	ssns - steroid-sensitive nephrotic syndrome	^ESCTSS509334		236380004	354333016	1				1	1	1
