medcode	readcode	readterm	dementia	type	certlevel	nonspecific
31892	F11..00	other cerebral degenerations	1	7		1
51494	E00y.11	presbyophrenic psychosis	1	7		1
15165	E001.00	presenile dementia	1	7		
38438	E001z00	presenile dementia nos	1	7		
49513	E001100	presenile dementia with delirium	1	7		
27677	E001300	presenile dementia with depression	1	7		
30032	E001200	presenile dementia with paranoia	1	7		
52673	A413.00	progressive multifocal leucoencephalopathy	1	7		1
49541	A413.11	progressive multifocal leukoencephalopathy	1	7		1
108268	8CMG200	review of dementia advance care plan	1	7		
33353	F11y000	reye's syndrome	1	7		
29512	F112.00	senile degeneration of brain	1	7		1
1916	E00..11	senile dementia	1	7		
37015	E003.00	senile dementia with delirium	1	7		
21887	E002100	senile dementia with depression	1	7		
44674	E002.00	senile dementia with depressive or paranoid features	1	7		
41089	E002z00	senile dementia with depressive or paranoid features nos	1	7		
18386	E002000	senile dementia with paranoia	1	7		
2882	E00z.00	senile or presenile psychoses nos	1	7		1
1350	E00..12	senile/presenile dementia	1	7		
42602	E001000	uncomplicated presenile dementia	1	7		
7323	E000.00	uncomplicated senile dementia	1	7		
