medcodeid	term	smokstatus
102921000006112	tobacco smoking consumption	current smoker
102951000006115	tobacco dependence	current smoker
103051000006114	tobacco usage screen	current smoker
103061000006111	tobacco usage screening	current smoker
128311000006112	stop smoking monitoring first letter	current or ex-smoker
128321000006116	stop smoking monitoring second letter	current or ex-smoker
128331000006118	stop smoking monitoring third letter	current or ex-smoker
128361000006110	stop smoking monitoring telephone invite	current or ex-smoker
128371000006115	stop smoking monitoring verbal invite	current or ex-smoker
128381000006117	stop smoking monitoring check done	current or ex-smoker
137711000006111	smoker (read codes)	current smoker
137721000006115	smoker - amount smoked	current smoker
137761000006114	smoking age ceased	ex-smoker
137771000006119	smoking age started	current smoker
137791000006118	smoking restarted	current smoker
298701000000114	history of tobacco use	ex-smoker
303501000000115	smoking cessation advice provided by community pharmacist	current or ex-smoker
397181000006117	[x]mental and behavioural disorders due to use of tobacco: residual and late-onset psychotic disorder	current smoker
397271000006110	[x]mental and behavioural disorders due to use of tobacco: other mental and behavioural disorders	current smoker
397281000006113	[x]mental and behavioural disorders due to use of tobacco: withdrawal state with delirium	current smoker
397461000006119	[x]mental and behavioural disorders due to use of tobacco: unspecified mental and behavioural disorder	current smoker
397671000006112	[x]mental and behavioural disorders due to use of tobacco: acute intoxication	current smoker
397681000006110	[x]mental and behavioural disorders due to use of tobacco: psychotic disorder	current smoker
397911000006114	[x]mental and behavioural disorders due to use of tobacco: harmful use	current smoker
397971000006117	[x]mental and behav dis due to use tobacco: amnesic syndrome	current smoker
397981000006119	[x]mental and behav dis due to use tobacco: dependence syndr	current smoker
397991000006116	[x]mental and behavioural disorders due to use of tobacco: withdrawal state	current smoker
469421000006110	nicotine adverse reaction	current smoker
482771000000118	smoking cessation drug therapy	current or ex-smoker
482791000000119	nicotine replacement therapy using nicotine patch	current or ex-smoker
482811000000118	nicotine replacement therapy using nicotine gum	current or ex-smoker
482831000000114	nicotine replacement therapy using nicotine inhalator	current or ex-smoker
482851000000119	nicotine replacement therapy using nicotine lozenge	current or ex-smoker
482871000000111	other specified smoking cessation therapy	current or ex-smoker
489931000000114	smoking cessation therapy nos	current or ex-smoker
492511000000117	smoking cessation therapy	current or ex-smoker
498831000006118	attends stop smoking monitoring	current or ex-smoker
604961000006114	current smoker nos	current smoker
649821000006115	ex-cigar smoker	ex-smoker
649831000006117	ex-pipe smoker	ex-smoker
649841000006110	ex-smoker	ex-smoker
649851000006112	ex- rolled tobacco smoker	ex-smoker
649861000006114	ex-cigarette smoker	ex-smoker
700121000006118	moderate cigarette smoker (10-19 cigs/day)	current smoker
736241000000116	smoking cessation enhanced services administration	current or ex-smoker
743331000006116	light cigarette smoker (1-9 cigs/day)	current smoker
818061000006111	smoking cessation education	current or ex-smoker
819331000006110	heavy cigarette smoker (20-39 cigs/day)	current smoker
852111000006118	gradual smoking reduction	current smoker
852121000006114	smoking cessation-maintain abstinence	ex-smoker
852131000006112	smoking cessation-practice nurse support	current smoker
852981000006111	rolls own cigarettes	current smoker
853001000006110	ex-smoker nos	ex-smoker
854021000006115	cigarette smoker	current smoker
854051000006112	ex-pipe smoker	ex-smoker
854071000006119	current smoker	current smoker
854111000006110	past smoker	ex-smoker
854151000006111	date stopped smoking	ex-smoker
854951000006113	grade a non-smoker	non-smoker
854961000006110	grade b light smoker (1-10/day)	current smoker
854981000006117	grade c moderate smoker (11-20/day)	current smoker
855001000006114	grade d heavy smoker (>20 day)	current smoker
903041000006110	ex-smoker nos	ex-smoker
903051000006112	tobacco consumption nil	non-smoker
903981000006117	not interested in stopping smoking	current smoker
904001000006111	ready to stop smoking	current smoker
904021000006118	previous smoking quit attempts	current smoker
904031000006115	thinking about stopping smoking	current smoker
904041000006113	waking time to first cigarette	current smoker
904071000006117	smoking cessation 4 week follow up	current or ex-smoker
904081000006119	smoking cessation 52 week follow up	current or ex-smoker
904091000006116	date of last cigarette	current or ex-smoker
904111000006113	carbon monoxide validation confirms non-smoker	non-smoker
904121000006117	carbon monoxide validation confirms smoker	current smoker
904141000006112	smoking cessation 4 week f/u not completed	current or ex-smoker
904151000006114	smoking cessation 4 week f/u completed	current or ex-smoker
904161000006111	smoking cessation 52 week f/u completed	current or ex-smoker
904171000006116	smoking cessation 52 week f/u not completed	current or ex-smoker
904181000006118	smoking cessation counselling	current or ex-smoker
904191000006115	smoking cessation motivation score	current or ex-smoker
904201000006117	smoking cessation confidence score	current or ex-smoker
904211000006119	smoking cessation service patient satisfaction score	current or ex-smoker
904221000006110	smoking cessation bupropion therapy	current or ex-smoker
904231000006113	smoking cessation counselling by telephone	current or ex-smoker
904241000006115	smoking cessation counselling in person	current or ex-smoker
909391000006117	[rfc] smoking cessation	current or ex-smoker
923201000006112	pregnancy smoking advice	current smoker
923611000006113	health ed. - smoking	current smoker
936011000006114	advice on effects of smoking on health	current smoker
961581000006114	smokes/uses tobacco products	current smoker
983101000006113	misuse of nicotine	current smoker
998861000006112	nicotine replacement therapy provided by community pharmacist	current or ex-smoker
1009271000006118	non smoker - nos	non-smoker
1059701000000119	ex roll-up cigarette smoker	ex-smoker
1123541000000118	stop smoking face to face follow-up	current or ex-smoker
1123751000000113	non-smoker annual review - enhanced services administration	non-smoker
1123951000000110	ex-smoker annual review - enhanced services administration	ex-smoker
1125741000000111	brief intervention for smoking cessation	current or ex-smoker
1151791000000117	recently stopped smoking	ex-smoker
1152111000000118	current smoker annual review	current smoker
1154431000000112	non-smoker annual review	non-smoker
1154471000000114	ex-smoker annual review	ex-smoker
1175011000000112	smoking cessation programme declined	current smoker
1176421000000118	smoking cessation advice declined	current smoker
1563081000000115	practice based smoking cessation programme start date	current or ex-smoker
1591651000006110	smoking cessation referral declined	current smoker
1592611000000110	failed attempt to stop smoking	current smoker
1626121000006116	smoking cessation drug therapy - varenicline	current or ex-smoker
1651711000000113	consent given for smoking cessation data sharing	current or ex-smoker
1653781000000119	declined consent for smoking cessation data sharing	current or ex-smoker
1662911000000114	consent given for follow-up by smoking cessation team	current or ex-smoker
1662951000000113	declined consent for follow-up by smoking cessation team	current or ex-smoker
1676351000006110	nicotine replacement therapy using nicotine sublingual tablets	current or ex-smoker
1694421000006112	stop smoking monitoring admin.	current or ex-smoker
1697731000006111	nicotine replacement therapy not tolerated	current or ex-smoker
1704491000006115	smoking cessation enhanced services administration monitoring template completed	current or ex-smoker
1704551000006110	referred for copd structured smoking assessment	current smoker
1704561000006112	referred for chronic obstructive pulmonary disease structured smoking assessment	current or ex-smoker
1704571000006117	chronic obstructive pulmonary disease structured smoking assessment declined	current or ex-smoker
1704581000006119	copd structured smoking assessment declined	current or ex-smoker
1709641000000115	referral for smoking cessation service offered	current smoker
1714541000006110	current smoker annual review - enhanced services admin	current smoker
1715591000006117	referral to national health service stop smoking service	current or ex-smoker
1716141000000117	lost to smoking cessation follow-up	current or ex-smoker
1739161000000118	asthma trigger - tobacco smoke	current smoker
1741641000006117	smoking cessation esa monitoring template completed	current or ex-smoker
1750931000000118	stop smoking service opportunity signposted	current smoker
1751721000000113	stop smoking invitation short message service text message	current or ex-smoker
1754091000000110	issue of nicotine replacement therapy voucher	current smoker
1755201000006117	consent given for follow-up evaluation after smoking cessation intervention	current or ex-smoker
1755231000006113	declined consent for follow-up evaluation after smoking cessation intervention	current or ex-smoker
1771191000006119	attends smoking cessation clinic not at practice	current or ex-smoker
1777011000006118	reason for referral: smoking cessation	current or ex-smoker
1778181000006110	group session: stop smoking education programme	current or ex-smoker
1785671000006116	stop smoking invitation first short message service text message	current or ex-smoker
1785681000006118	stop smoking invitation second short message service text message	current or ex-smoker
1785691000006115	stop smoking invitation third short message service text message	current or ex-smoker
1809121000006113	waterpipe tobacco consumption	current smoker
1809131000006111	total time smoked	current or ex-smoker
1817431000006112	tobacco use and exposure	current smoker
1819411000006114	smoking increased	current smoker
1823811000006115	smoking cessation 12 week follow up	current or ex-smoker
1825071000006116	smoking cessation 12 week f/u not completed	current or ex-smoker
1825081000006118	smoking cessation 12 week f/u completed	current or ex-smoker
1833971000006116	stop smoking satisfaction questionnaire given	current or ex-smoker
1873511000006118	care contact service: smoking/substance cessation/interven prog.	current smoker
1879431000006110	user of electronic cigarette	current smoker
1889671000006116	child 27-30 mth exam.- smoking cessation support provided	current smoker
1889681000006118	child 27-30 mth exam.- signpost to smoking cessation	current smoker
1889691000006115	child 27-30 mth exam. - discuss with smoking cessation service	current smoker
1889701000006115	child 27-30 mth exam. - requ. assist. from smoking cessation	current smoker
1889711000006117	child 27-30 mth exam. - refused smoking cessation service	current smoker
1925121000006113	issue of nicotine replacement therapy voucher	current smoker
1973821000006117	mental & behav dis due to use tobacco: acute intoxication, uncomplicated	current smoker
1973841000006112	mental & behav dis due to use tobacco: acute intoxication, with trauma or other bodily injury	current smoker
1973851000006114	mental & behav dis due to use tobacco: acute intoxication, with other medical complications	current smoker
1973921000006114	mental & behav dis due to use tobacco: acute intoxication, with delirium	current smoker
1973951000006117	mental & behav dis due to use tobacco: acute intoxication, with perceptual distortions	current smoker
1973981000006113	mental & behav dis due to use tobacco: acute intoxication, with coma	current smoker
1974031000006110	mental & behav dis due to use tobacco: acute intoxication, with convulsions	current smoker
1974281000006116	mental and behav dis due to use tobacco: dependence syndr, currently abstinent	current smoker
1974311000006119	mental and behav dis due to use tobacco: dependence syndr, currently abstinent, but in a protected environment	current smoker
1974341000006115	mental and behav dis due to use tobacco: dependence syndr, currently on a clinically supervised maintenance or replacement regime [controlled dependence]	current smoker
1974371000006111	mental and behav dis due to use tobacco: dependence syndr, currently abstinent, but receiving treatment with aversive or blocking drugs	current smoker
1974401000006114	mental and behav dis due to use tobacco: dependence syndr, currently using the substance [active dependence]	current smoker
1974421000006116	mental and behav dis due to use tobacco: dependence syndr, continuous use	current smoker
1974461000006110	mental and behav dis due to use tobacco: dependence syndr, episodic use [dipsomania]	current smoker
1974501000006110	mental and behav dis due to use tobacco: withdrawal state, uncomplicated	current smoker
1974531000006119	mental and behav dis due to use tobacco: withdrawal state, with convulsions	current smoker
1974571000006116	mental & behav dis due to tobacco: withdrawl state wth delirium, without convulsions	current smoker
1974581000006118	mental & behav dis due to tobacco: withdrawl state wth delirium, with convulsions	current smoker
1974651000006110	mental & behav dis due to use tobacco: psychotic disorder, schizophrenia-like	current smoker
1974681000006119	mental & behav dis due to use tobacco: psychotic disorder, predominantly delusional	current smoker
1974711000006118	mental & behav dis due to use tobacco: psychotic disorder, predominantly hallucinatory	current smoker
1974741000006119	mental & behav dis due to use tobacco: psychotic disorder, predominantly polymorphic	current smoker
1974761000006115	mental & behav dis due to use tobacco: psychotic disorder, predominantly depressive symptoms	current smoker
1974791000006111	mental & behav dis due to use tobacco: psychotic disorder, predominantly manic symptoms	current smoker
1974811000006110	mental & behav dis due to use tobacco: psychotic disorder, mixed	current smoker
1974841000006114	mental & behav dis due to tobacco: resid & late-onset psychot dis, flashbacks	current smoker
1974871000006118	mental & behav dis due to tobacco: resid & late-onset psychot dis, personality or behaviour disorder	current smoker
1974911000006115	mental & behav dis due to tobacco: resid & late-onset psychot dis, residual affective disorder	current smoker
1974931000006114	mental & behav dis due to tobacco: resid & late-onset psychot dis, dementia	current smoker
1974961000006117	mental & behav dis due to tobacco: resid & late-onset psychot dis, other persisting cognitive impairment	current smoker
1974981000006110	mental & behav dis due to tobacco: resid & late-onset psychot dis, late-onset psychotic disorder	current smoker
1979471000006116	nicotine replacement therapy using nicotine nasal spray	current smoker
1979481000006118	nicotine replacement therapy using nicotine mouth spray	current smoker
1979491000006115	smoking cessation follow-up	current or ex-smoker
2141561000000115	smoking cessation drug therapy declined	current smoker
2170961000000116	waterpipe tobacco consumption	current smoker
2203381000000113	smoking cessation 12 week follow-up	current or ex-smoker
2251871000000112	referral to smoking cessation service declined	current smoker
2251911000000114	referral to smoking cessation service	current smoker
2265711000000117	electronic cigarette user	current smoker
2336091000000117	ex user of electronic cigarette	ex-smoker
2462391000000119	varenicline smoking cessation therapy declined	current smoker
2462431000000110	varenicline smoking cessation therapy offered	current smoker
2636041000006110	cessation of smoking	ex-smoker
2717211000000112	signposting to smoking cessation service	current smoker
2735181000000113	ex-smoker amount unknown	ex-smoker
2735201000000112	ex-very heavy smoker (40+/day)	ex-smoker
2735281000000119	ex-heavy smoker (20-39/day)	ex-smoker
2735331000000112	ex-moderate smoker (10-19/day)	ex-smoker
2735381000000111	ex-light smoker (1-9/day)	ex-smoker
2735421000000119	ex-trivial smoker (<1/day)	ex-smoker
3419101000006116	moderate smoker (20 or less per day)	current smoker
3422221000006116	heavy smoker (over 20 per day)	current smoker
3874641000006110	pipe smoking tobacco	current smoker
3959111000006111	tobacco dependence syndrome	current smoker
4939241000006115	advice on effects of smoking on health	current smoker
4939251000006118	advice on smoking	current smoker
4939261000006116	smoking effects education	current smoker
4948531000006116	smokes in bed	current smoker
4980561000006117	time since stopped smoking	ex-smoker
4980581000006110	age at starting smoking	current or ex-smoker
4980711000006110	finding relating to moist tobacco use	current smoker
4980741000006114	moist tobacco consumption	current smoker
4980751000006111	does not use moist powdered tobacco	current smoker
4980781000006115	user of moist powdered tobacco	current smoker
5003141000006118	trivial cigarette smoker	current smoker
5003151000006116	light cigarette smoker	current smoker
5003161000006119	moderate cigarette smoker	current smoker
5003171000006114	heavy cigarette smoker	current smoker
5003181000006112	very heavy cigarette smoker	current smoker
5003191000006110	chain smoker	current smoker
5074201000006119	smokers keratosis	current smoker
5179531000006116	self injury by cigarette burn	current smoker
5495901000006112	amount and type of tobacco smoked	current smoker
5495921000006119	never smoked	non-smoker
5495941000006114	occasional smoker	current smoker
5495951000006111	occasional cigarette smoker (less than one cigarette/day)	current smoker
5496021000006114	tobacco smoking consumption unknown	current smoker
5496031000006112	ex-cigarette smoker amount unknown	ex-smoker
5550551000006111	ftnd - fagerstrom test for nicotine dependence	current smoker
5553641000006116	occasions for smoking scale	current smoker
5555231000006111	reasons for smoking scale	current smoker
5827951000006117	accidental nicotine overdose	current smoker
5979541000006112	smoking monitoring call	current or ex-smoker
5979551000006114	smoking monitoring status	current or ex-smoker
5999811000006115	smoking monitoring invitation	current or ex-smoker
6047151000006118	tobacco related optic neuropathy	current or ex-smoker
6217151000006116	intolerant ex-smoker	ex-smoker
6217281000006116	aggressive ex-smoker	ex-smoker
6282331000006114	tobacco smoking behaviour - finding	current or ex-smoker
6282351000006119	smoking	current smoker
6282371000006112	tobacco smoking consumption - finding	current smoker
6427931000006116	smoking cessation assistance	current or ex-smoker
6475771000006114	nicotine inhaler	current smoker
6718071000006115	current non smoker but past smoking history unknown	current or ex-smoker
7368651000006119	smoked before confirmation of pregnancy	ex-smoker
7368961000006112	stopped smoking during pregnancy	ex-smoker
7368971000006117	stopped smoking before pregnancy	ex-smoker
7375991000006118	smokes tobacco daily	current smoker
7559591000006110	tobacco use cessation education	ex-smoker
7569061000006118	never used tobacco	non-smoker
7650811000006116	assessment of readiness for smoking cessation	current or ex-smoker
7696001000006118	patient request for smoking cessation information	current or ex-smoker
7832561000006114	e-cigarette user	current smoker
7859781000006116	harmful pattern of use of nicotine	current smoker
7965041000006111	never smoked any substance	non-smoker
8012751000006116	did not attend smoking cessation clinic	current or ex-smoker
8017571000006117	ex-smoker for more than 1 year	ex-smoker
8056731000006119	smoking assessment	current or ex-smoker
8061901000006111	attends practice smoking cessation clinic	current or ex-smoker
8063181000006116	wants to stop smoking	current or ex-smoker
8109071000006112	asthma trigger - tobacco smoke	current smoker
8153371000006117	occasional tobacco smoker	current smoker
8190531000006112	referral to nhs (national health service) stop smoking service	current or ex-smoker
8196151000006112	smoking cessation leaflet given	current or ex-smoker
8221521000006111	smoking cessation	current or ex-smoker
8299271000006119	number of previous attempts to stop smoking	current or ex-smoker
11793611000006110	smoking cessation behaviour support	current or ex-smoker
11904991000006116	occasional cigarette smoker	current smoker
12024741000006113	monitoring of smoking cessation therapy	current or ex-smoker
12452041000006114	refuses stop smoking monitor	current smoker
12626191000006119	vba (very brief advice) on smoking	current or ex-smoker
13494621000006118	referral for brief intervention for smoking cessation	current or ex-smoker
13499671000006118	brief intervention for smoking cessation	current or ex-smoker
13619901000006115	number of calculated smoking pack years	current or ex-smoker
13653481000006112	nicotine-filled electronic cigarette user	current smoker
13653491000006110	nicotine-filled electronic cigarette vaper	current smoker
13653501000006119	vaper with nicotine	current smoker
