medcode	readcode	readterm	arrhythmia	arrhythmia_type	arrhythmia_cat	cvd	angina	angina_type	angina_cat	cad	cad_cat	cad_type	mi	mi_cat	sca	sca_cat	revascularisation	revascularisation_cat	nonspecificcvd	nonspecificcvd_cat	confidence	hf	stroke	catstroke	vte	dvt	dvt_type	dvt_cat	pulmonaryembolism	pulmonaryembolism_cat	cardiomyopathy	cardiomyopathy_type	cardiomyopathy_cat	pericarditis	pericarditis_type	pericarditis_cat	vhd	vhd_type	vhd_cat	pvd_cat	cvdgrouped
9414	7921.00	other autograft replacement of coronary artery				revascularisation											Revascularisation	Diagnosis																							1
7134	7921.11	other autograft bypass of coronary artery				revascularisation											Revascularisation	Diagnosis																							1
44561	7921000	autograft replacement of one coronary artery nec				cad				CAD	Diagnosis	Revascularisation																													1
19413	7921100	autograft replacement of two coronary arteries nec				revascularisation											Revascularisation	Diagnosis																							1
10209	7921200	autograft replacement of three coronary arteries nec				cad				CAD	Diagnosis	Revascularisation																													1
42708	7921300	autograft replacement of four of more coronary arteries nec				cad				CAD	Diagnosis	Revascularisation																													1
61310	7921y00	other autograft replacement of coronary artery os				cad				CAD	Diagnosis	Revascularisation																													1
7609	7921z00	other autograft replacement of coronary artery nos				cad				CAD	Diagnosis	Revascularisation																													1
31556	7922.00	allograft replacement of coronary artery				revascularisation											Revascularisation	Diagnosis																							1
32651	7922.11	allograft bypass of coronary artery				revascularisation											Revascularisation	Diagnosis																							1
70111	7922000	allograft replacement of one coronary artery				revascularisation											Revascularisation	Diagnosis																							1
57241	7922100	allograft replacement of two coronary arteries				cad				CAD	Diagnosis	Revascularisation																													1
45886	7922200	allograft replacement of three coronary arteries				revascularisation											Revascularisation	Diagnosis																							1
45370	7922300	allograft replacement of four or more coronary arteries				revascularisation											Revascularisation	Diagnosis																							1
59423	7922y00	other specified allograft replacement of coronary artery				revascularisation											Revascularisation	Diagnosis																							1
48767	7922z00	allograft replacement of coronary artery nos				revascularisation											Revascularisation	Diagnosis																							1
36011	7923.11	prosthetic bypass of coronary artery				revascularisation											Revascularisation	Diagnosis																							1
28837	7925.11	creation of bypass from mammary artery to coronary artery				revascularisation											Revascularisation	Diagnosis																							1
42462	7928200	percut translum balloon angioplasty bypass graft coronary a				revascularisation											Revascularisation	Diagnosis																							1
34963	792D.00	other bypass of coronary artery				revascularisation											Revascularisation	Diagnosis																							1
3159	792Dy00	other specified other bypass of coronary artery				cad				CAD	Diagnosis	Revascularisation																													1
33471	792Dz00	other bypass of coronary artery nos				revascularisation											Revascularisation	Diagnosis																							1
105184	792E.00	percutaneous coronary intervention				revascularisation											Revascularisation	Diagnosis																							1
107406	792E000	emergency percutaneous coronary intervention				cad				CAD	Diagnosis	Revascularisation																													1
97560	7932111	cardiac massage - open				sca									1	Diagnosis																									1
9479	7936A00	implant intravenous pacemaker for atrial fibrillation	arrhythmia	Atrial fibrillation & flutter	Disease management	arrhythmia																																			1
84152	793M100	perc transluminal ablation of atrial wall for atrial flutter	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
86416	793M300	perc translum ablat conduct sys heart for atrial flutter nec	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
34687	7A09311	trendelenburg pulmonary embolectomy				vte																			1																1
2761	7A12100	bypass bifurc aorta by anastom aorta to femoral artery nec				revascularisation											Revascularisation	Diagnosis																							1
43449	7A20100	intracranial bypass to carotid artery				revascularisation											Revascularisation	Diagnosis																							1
91775	7A20700	intracranial bypass from carotid artery nec				revascularisation											Revascularisation	Diagnosis																							1
29183	7A26000	bypass of subclavian artery nec				cad				CAD	Diagnosis	Revascularisation																													1
60465	7A48500	bypass popliteal artery by pop/tib a anast c prosthesis nec				cad				CAD	Diagnosis	Revascularisation																													1
2066	7A48z00	other bypass of femoral artery or popliteal artery nos				revascularisation											Revascularisation	Diagnosis																							1
96801	7L1H600	advanced cardiopulmonary resuscitation				cad				CAD	Diagnosis	SCA																													1
55351	7P24200	delivery of rehabilitation for stroke				stroke															History		1	90.history of stroke nos																	1
41717	853..00	cardiac massage - external				cad				CAD	Diagnosis	SCA																													1
72762	8531.00	closed cardiac massage alone				cad				CAD	Diagnosis	SCA																													1
60367	8532.00	closed cardiac massage+ventil.				sca									1	Diagnosis																									1
28236	8532.11	cardiopulmonary resuscitation				cad				CAD	Diagnosis	SCA																													1
72785	853Z.00	external cardiac massage nos				cad				CAD	Diagnosis	SCA																													1
61670	889A.00	diab mellit insulin-glucose infus acute myocardial infarct				mi							1	Myocardial infarction																											1
24503	8B29.00	cardiac failure therapy				hf															Disease management	Heart failure																			1
115304	8B31F00	heart failure medication review				hf															Disease management	Heart failure																			1
32945	8CL3.00	heart failure care plan discussed with patient				hf															Disease management	Heart failure																			1
103732	8CMK.00	has heart failure management plan				hf															Disease management	Heart failure																			1
105554	8CMW200	atrial fibrillation care pathway	arrhythmia	Atrial fibrillation & flutter	Disease management	arrhythmia																																			1
106008	8CMW800	heart failure clinical pathway				hf															Possible	Heart failure																			1
108171	8CMWH00	palpitations care pathway	arrhythmia	Palpitations	Disease management	arrhythmia																																			1
105542	8CeC.00	preferred place of care for next exacerbation heart failure				hf															Possible	Heart failure																			1
32898	8H2S.00	admit heart failure emergency				hf															Diagnosis	Heart failure																			1
95550	8H2V.00	admit ischaemic heart disease emergency				cad				CAD	Diagnosis	Not specific																													1
17851	8HBE.00	heart failure follow-up				hf															Disease management	Heart failure																			1
13707	8HBJ.00	stroke / transient ischaemic attack referral				stroke															Possible		1	90.history of stroke nos																	1
56458	8HHM.00	ref to multidisciplinary stroke function improvement service				stroke															Disease management		1	90.history of stroke nos																	1
26115	8HHb.00	referral to heart failure nurse				hf															Possible	Heart failure																			1
70619	8HHz.00	referral to heart failure exercise programme				hf															Possible	Heart failure																			1
48897	8HTL.00	referral to heart failure clinic				hf															Possible	Heart failure																			1
106680	8HTL000	referral to rapid access heart failure clinic				hf															Possible	Heart failure																			1
18804	8HTQ.00	referral to stroke clinic				stroke															Possible		1	90.history of stroke nos																	1
94552	8HTm.00	referral to deep vein thrombosis clinic				vte																			1																1
103506	8HTy.00	referral to atrial fibrillation clinic	arrhythmia	Atrial fibrillation & flutter	Possible	arrhythmia																																			1
105520	8Hd6.00	admission to stroke unit				stroke															Diagnosis		1	90.history of stroke nos																	1
71235	8Hk0.00	referred to heart failure education group				hf															Possible	Heart failure																			1
100475	8HlP.00	referred for peripheral artery disease assessment				pvd																																		Possible	1
110101	8I98.00	heart failure rehabilitation programme not available				hf															Diagnosis	Heart failure																			1
108056	8IEY.00	referral to angina plan self-management programme declined				cad				CAD	Diagnosis	Angina																													1
107936	8OAD.00	provision of written information about atrial fibrillation	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
107574	8T04.00	referral to angina plan self-management programme				cad				CAD	Diagnosis	Angina																													1
12627	9N0k.00	seen in heart failure clinic				hf															Possible	Heart failure																			1
32959	9N0p.00	seen in stroke clinic				stroke															Possible		1	90.history of stroke nos																	1
19002	9N2p.00	seen by community heart failure nurse				hf															Possible	Heart failure																			1
43001	9N4h.00	dna - did not attend peripheral vascular disease clinic				pvd																																		Possible	1
95021	9N4s.00	did not attend practice nurse heart failure clinic				hf															Possible	Heart failure																			1
83481	9N4w.00	did not attend heart failure clinic				hf															Possible	Heart failure																			1
69062	9N6T.00	referred by heart failure nurse specialist				hf															Possible	Heart failure																			1
31218	9Om..00	stroke/transient ischaemic attack monitoring administration				stroke															Disease management		1	90.history of stroke nos																	1
28753	9Om0.00	stroke/transient ischaemic attack monitoring first letter				stroke															Disease management		1	90.history of stroke nos																	1
34245	9Om1.00	stroke/transient ischaemic attack monitoring second letter				stroke															Disease management		1	90.history of stroke nos																	1
34375	9Om2.00	stroke/transient ischaemic attack monitoring third letter				stroke															Disease management		1	90.history of stroke nos																	1
51465	9Om3.00	stroke/transient ischaemic attack monitoring verbal invitati				stroke															Disease management		1	90.history of stroke nos																	1
89913	9Om4.00	stroke/transient ischaemic attack monitoring telephone invte				stroke															Disease management		1	90.history of stroke nos																	1
18793	9On..00	left ventricular dysfunction monitoring administration				hf															Disease management	Heart failure																			1
60710	9On0.00	left ventricular dysfunction monitoring first letter				hf															Disease management	Heart failure																			1
60721	9On1.00	left ventricular dysfunction monitoring second letter				hf															Disease management	Heart failure																			1
72341	9On2.00	left ventricular dysfunction monitoring third letter				hf															Disease management	Heart failure																			1
92305	9On3.00	left ventricular dysfunction monitoring verbal invite				hf															Disease management	Heart failure																			1
96484	9On4.00	left ventricular dysfunction monitoring telephone invite				hf															Disease management	Heart failure																			1
32911	9Or..00	heart failure monitoring administration				hf															Disease management	Heart failure																			1
19380	9Or0.00	heart failure review completed				hf															Disease management	Heart failure																			1
90193	9Or1.00	heart failure monitoring telephone invite				hf															Disease management	Heart failure																			1
90192	9Or2.00	heart failure monitoring verbal invite				hf															Disease management	Heart failure																			1
72965	9Or3.00	heart failure monitoring first letter				hf															Disease management	Heart failure																			1
72386	9Or4.00	heart failure monitoring second letter				hf															Disease management	Heart failure																			1
89650	9Or5.00	heart failure monitoring third letter				hf															Disease management	Heart failure																			1
57832	9Os..00	atrial fibrillation monitoring administration	arrhythmia	Atrial fibrillation & flutter	Disease management	arrhythmia																																			1
90187	9Os0.00	atrial fibrillation monitoring first letter	arrhythmia	Atrial fibrillation & flutter	Disease management	arrhythmia																																			1
90188	9Os1.00	atrial fibrillation monitoring second letter	arrhythmia	Atrial fibrillation & flutter	Disease management	arrhythmia																																			1
90189	9Os2.00	atrial fibrillation monitoring third letter	arrhythmia	Atrial fibrillation & flutter	Disease management	arrhythmia																																			1
90190	9Os3.00	atrial fibrillation monitoring verbal invite	arrhythmia	Atrial fibrillation & flutter	Disease management	arrhythmia																																			1
90191	9Os4.00	atrial fibrillation monitoring telephone invite	arrhythmia	Atrial fibrillation & flutter	Disease management	arrhythmia																																			1
104394	9hS0.00	excepted frm peripheral arterial dis qual ind: pt unsuitable				pvd																																		Disease management	1
104270	9hS1.00	except frm peripheral arter dis qual indicat: inform dissent				pvd																																		Disease management	1
106224	9m1..00	peripheral vascular disease monitoring invitation				pvd																																		Disease management	1
106260	9m10.00	peripheral vascular disease monitoring first letter				pvd																																		Disease management	1
106660	9m11.00	peripheral vascular disease monitoring second letter				pvd																																		Disease management	1
106855	9m12.00	peripheral vascular disease monitoring third letter				pvd																																		Disease management	1
16803	A364100	meningococcal pericarditis				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
72632	A3A0F00	gas gangrene-foot				pvd																																		Diagnosis	1
9113	A742100	coxsackie pericarditis				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
65897	A93y000	syphilitic pericarditis				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
31941	A94y600	rupture of syphilitic cerebral aneurysm				stroke															Diagnosis		1	75.other haemorrhage																	1
96449	A98y200	gonococcal pericarditis				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
112017	A98y400	other gonococcal heart disease				cad				CAD	Diagnosis	Not specific																													1
96444	AB40300	histoplasma capsulatum with pericarditis				pericarditis																												Pericarditis	1. Pericarditis NOS	Diagnosis					1
94380	AB41300	histoplasma duboisii with pericarditis				pericarditis																												Pericarditis	1. Pericarditis NOS	Diagnosis					1
35399	C107.00	diabetes mellitus with peripheral circulatory disorder				pvd																																		Diagnosis	1
70448	C107000	diabetes mellitus, juvenile +peripheral circulatory disorder				pvd																																		Diagnosis	1
63357	C107100	diabetes mellitus, adult, + peripheral circulatory disorder				pvd																																		Diagnosis	1
69124	C107300	iddm with peripheral circulatory disorder				pvd																																		Diagnosis	1
56803	C107400	niddm with peripheral circulatory disorder				pvd																																		Diagnosis	1
65025	C107z00	diabetes mellitus nos with peripheral circulatory disorder				pvd																																		Diagnosis	1
64446	C108G00	insulin dependent diab mell with peripheral angiopathy				pvd																																		Diagnosis	1
54212	C109F00	non-insulin-dependent d m with peripheral angiopath				pvd																																		Diagnosis	1
54899	C109F11	type ii diabetes mellitus with peripheral angiopathy				pvd																																		Diagnosis	1
60699	C109F12	type 2 diabetes mellitus with peripheral angiopathy				pvd																																		Diagnosis	1
93468	C10EG00	type 1 diabetes mellitus with peripheral angiopathy				pvd																																		Diagnosis	1
37806	C10FF00	type 2 diabetes mellitus with peripheral angiopathy				pvd																																		Diagnosis	1
104639	C10FF11	type ii diabetes mellitus with peripheral angiopathy				pvd																																		Diagnosis	1
49715	F05..00	phlebitis and thrombophlebitis of intracranial sinuses				vte																			1																1
31390	F051.00	thrombosis of central nervous system venous sinuses				dvt																				1	4. DVT cerebral venous sinuses	Diagnosis													1
61366	F051z00	thrombosis of central nervous system venous sinus nos				vte																			1																1
41180	F053.00	thrombophlebitis of central nervous system venous sinuses				dvt																				1	4. DVT cerebral venous sinuses	Diagnosis													1
55883	F053000	thrombophlebitis of cavernous sinus				dvt																				1	4. DVT cerebral venous sinuses	Diagnosis													1
70455	F053100	thrombophlebitis of superior longitudinal venous sinus				dvt																				1	4. DVT cerebral venous sinuses	Diagnosis													1
115973	F053200	thrombophlebitis lateral venous sinus				vte																			1																1
113445	F053z00	thrombophlebitis of central nervous system venous sinus nos				vte																			1																1
65855	F05z.00	phlebitis or thrombophlebitis of cns venous sinus nos				vte																			1																1
54744	F11x200	cerebral degeneration due to cerebrovascular disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
95347	Fyu5700	[x]other vascular syndroms/brain in cerebrovasculr diseases				stroke															Possible		1	30.stroke nos																	1
12786	G....00	circulatory system diseases				cad				CAD	Diagnosis	Not specific																													1
13259	G....11	cardiovascular system diseases				cad				CAD	Diagnosis	Not specific																													1
10109	G....13	heart diseases				cad				CAD	Diagnosis	Not specific																													1
24636	G010.00	acute rheumatic pericarditis				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
73540	G01y.00	other acute rheumatic heart disease				cad				CAD	Diagnosis	Not specific																													1
105615	G01yz00	other acute rheumatic heart disease nos				cad				CAD	Diagnosis	Not specific																													1
68849	G01z.00	acute rheumatic heart disease nos				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
9312	G1...00	chronic rheumatic heart disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
44376	G10..00	chronic rheumatic pericarditis				pericarditis																												Pericarditis	4. Chronic pericarditis	Diagnosis					1
72628	G102.00	chronic rheumatic myopericarditis				pericarditis																												Pericarditis	4. Chronic pericarditis	Diagnosis					1
51879	G111.00	rheumatic mitral insufficiency				vhd																															1	2.Mitral valve disease	Diagnosis		1
22837	G111.12	mitral regurgitation - rheumatic				vhd																															1	2.Mitral valve disease	Diagnosis		1
44488	G112.00	mitral stenosis with insufficiency				vhd																															1	2.Mitral valve disease	Diagnosis		1
44328	G112.13	mitral stenosis with regurgitation				vhd																															1	2.Mitral valve disease	Diagnosis		1
28662	G113.00	nonrheumatic mitral valve stenosis				vhd																															1	2.Mitral valve disease	Diagnosis		1
32211	G121.00	rheumatic aortic insufficiency				vhd																															1	1.Aortic valve disease	Diagnosis		1
7963	G121.12	aortic regurgitation - rheumatic				vhd																															1	1.Aortic valve disease	Diagnosis		1
63960	G122.00	rheumatic aortic stenosis with insufficiency				vhd																															1	1.Aortic valve disease	Diagnosis		1
49355	G131.00	mitral stenosis and aortic insufficiency				vhd																															1	2.Mitral valve disease	Diagnosis		1
17596	G131.14	mitral stenosis and aortic regurgitation				vhd																															1	2.Mitral valve disease	Diagnosis		1
33262	G132.00	mitral insufficiency and aortic stenosis				vhd																															1	2.Mitral valve disease	Diagnosis		1
33907	G132.13	mitral regurgitation and aortic stenosis				vhd																															1	2.Mitral valve disease	Diagnosis		1
94872	G133.11	mitral and aortic insufficiency				vhd																															1	2.Mitral valve disease	Diagnosis		1
11878	G133.12	mitral and aortic regurgitation				vhd																															1	2.Mitral valve disease	Diagnosis		1
60266	G140100	rheumatic tricuspid insufficiency				vhd																															1	4.Pulmonary disease	Diagnosis		1
21980	G140111	tricuspid regurgitation - rheumatic				vhd																															1	4.Pulmonary disease	Diagnosis		1
93114	G140200	rheumatic tricuspid stenosis and insufficiency				vhd																															1	4.Pulmonary disease	Diagnosis		1
93113	G14021X	rheumatic tricuspid stenosis and regurgitation				vhd																															1	4.Pulmonary disease	Diagnosis		1
42128	G140400	tricuspid insufficiency, cause unspecified				vhd																															1	4.Pulmonary disease	Diagnosis		1
9286	G140413	tricuspid regurgitation, cause unspecified				vhd																															1	4.Pulmonary disease	Diagnosis		1
72306	G140500	tricuspid stenosis and insufficiency, cause unspecified				vhd																															1	4.Pulmonary disease	Diagnosis		1
49551	G140514	tricuspid stenosis and regurgitation, cause unspecified				vhd																															1	4.Pulmonary disease	Diagnosis		1
54088	G141100	rheumatic pulmonary insufficiency				vhd																															1	3.Tricuspid valve disease	Diagnosis		1
105626	G141200	rheumatic pulmonary stenosis and insufficiency				vhd																															1	3.Tricuspid valve disease	Diagnosis		1
15643	G1y..00	other specified chronic rheumatic heart disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
57980	G1yz.00	other and unspecified rheumatic heart disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
53878	G1yz000	rheumatic heart disease unspecified				cad				CAD	Diagnosis	Not specific																													1
22262	G1yz100	rheumatic left ventricular failure				hf															Diagnosis	Heart failure																			1
59854	G1yzz00	other rheumatic heart disease nos				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
20001	G1z..00	chronic rheumatic heart disease nos				cad				CAD	Diagnosis	Not specific																													1
16292	G21..00	hypertensive heart disease				cad				CAD	Diagnosis	Not specific																													1
50157	G210.00	malignant hypertensive heart disease				hf															Diagnosis	Heart failure																			1
95334	G210000	malignant hypertensive heart disease without ccf				cad				CAD	Diagnosis	Not specific																													1
72668	G210100	malignant hypertensive heart disease with ccf				hf															Diagnosis	Heart failure																			1
103046	G210z00	malignant hypertensive heart disease nos				hf															Diagnosis	Heart failure																			1
52427	G211.00	benign hypertensive heart disease				cad				CAD	Diagnosis	Not specific																													1
61660	G211000	benign hypertensive heart disease without ccf				cad				CAD	Diagnosis	Not specific																													1
